File,Metric,gap,gap_center
Synthetic.csv,MAE,2.352847100407123,5.798362514777679
Synthetic.csv,RMSE,3.552357145082862,6.355633494404453
Synthetic.csv,MedAE,1.0187929761652401,6.527319557126949
Synthetic.csv,MAPE,131.6588262310065,314.3074079288097
Synthetic.csv,Min gap value,1.284883950501781,1.284883950501781
Synthetic.csv,Max gap value,2.509816958568578,2.5065127599756964
Sea_hour.csv,MAE,2.1347498706625494,8.980077217172457
Sea_hour.csv,RMSE,2.6586672346688722,11.060032322387421
Sea_hour.csv,MedAE,1.95024201221486,8.203327438433917
Sea_hour.csv,MAPE,252.06114082429295,990.3685425308649
Sea_hour.csv,Min gap value,0.36,0.5
Sea_hour.csv,Max gap value,1.51,1.4
Sea_10_240.csv,MAE,0.21813775635787103,0.8419568377169834
Sea_10_240.csv,RMSE,0.3125910563018796,0.9132775718258174
Sea_10_240.csv,MedAE,0.10816765978178405,0.888179699439341
Sea_10_240.csv,MAPE,35.989387729365816,136.01387013064772
Sea_10_240.csv,Min gap value,0.4046,0.4046
Sea_10_240.csv,Max gap value,0.9887,0.9831
Temperature.csv,MAE,37.481182547075214,133.32730796044765
Temperature.csv,RMSE,49.18871373110462,149.25693913332154
Temperature.csv,MedAE,29.392787928847,142.81997523149846
Temperature.csv,MAPE,13.613551642928021,49.021051762601395
Temperature.csv,Min gap value,243.39,248.66
Temperature.csv,Max gap value,300.89,289.78
Traffic.csv,MAE,29084.881641807093,12615.121405594642
Traffic.csv,RMSE,41508.90950861967,15459.99415285887
Traffic.csv,MedAE,17117.664924864148,9971.71139766771
Traffic.csv,MAPE,2089.813809327876,831.1538526430969
Traffic.csv,Min gap value,216.0,216.0
Traffic.csv,Max gap value,7065.0,7280.0
