File,Metric,gap,gap_center
Synthetic.csv,MAE,0.15951858382019804,0.23748747738178788
Synthetic.csv,RMSE,0.2194032911492535,0.28674711754028603
Synthetic.csv,MedAE,0.08725362049952512,0.22923298037381634
Synthetic.csv,MAPE,9.909086690870629,12.750586550954942
Synthetic.csv,Min gap value,1.284883950501781,1.284883950501781
Synthetic.csv,Max gap value,2.509816958568578,2.5065127599756964
Sea_hour.csv,MAE,0.11059513799034307,0.14097266010971005
Sea_hour.csv,RMSE,0.13826757572697984,0.1754647793170972
Sea_hour.csv,MedAE,0.09638309773469211,0.12140189849688704
Sea_hour.csv,MAPE,12.51027509173894,14.68462489582745
Sea_hour.csv,Min gap value,0.36,0.5
Sea_hour.csv,Max gap value,1.51,1.4
Sea_10_240.csv,MAE,0.08517946855396163,0.09431881913774831
Sea_10_240.csv,RMSE,0.10707486081150253,0.12279357520852853
Sea_10_240.csv,MedAE,0.07456361372257236,0.0735985973362544
Sea_10_240.csv,MAPE,13.611907797496006,15.956793968515399
Sea_10_240.csv,Min gap value,0.4046,0.4046
Sea_10_240.csv,Max gap value,0.9887,0.9831
Temperature.csv,MAE,6.721256715281333,12.020541072838853
Temperature.csv,RMSE,9.20428700706772,14.136880107415662
Temperature.csv,MedAE,5.01150038319247,11.17684567339657
Temperature.csv,MAPE,2.5067740060490173,4.418954203190871
Temperature.csv,Min gap value,243.39,248.66
Temperature.csv,Max gap value,300.89,289.78
Traffic.csv,MAE,726.8971849914886,643.5339824599895
Traffic.csv,RMSE,1083.8170350424684,899.8409749045887
Traffic.csv,MedAE,462.72675557300727,432.50492030297625
Traffic.csv,MAPE,41.67983995602484,30.150488399944493
Traffic.csv,Min gap value,216.0,216.0
Traffic.csv,Max gap value,7065.0,7280.0
