Index ,NPD_WELL_BORE_CODE,ON_STREAM_HRS     ,AVG_DOWNHOLE_PRESSURE,AVG_DP_TUBING     ,AVG_WHP_P         ,AVG_WHT_P         ,DP_CHOKE_SIZE     ,target ,BORE_GAS_VOL,BORE_WAT_VOL
0.0   ,7405              ,24.0              ,219.86292604166698   ,155.572074375     ,64.2908516666667  ,49.0529802083333  ,35.873076875      ,742.89 ,108079.03   ,93.31
1.0   ,7405              ,24.0              ,219.922990625        ,155.75273854166701,64.1702520833333  ,54.6906875        ,35.7507097916667  ,746.54 ,108387.02   ,100.42
2.0   ,7405              ,24.0              ,219.9771025          ,155.904444166667  ,64.07265833333331 ,55.231164375      ,35.6713129166667  ,750.57 ,105809.71   ,101.01
3.0   ,7405              ,24.0              ,219.973775319149     ,156.043394694149  ,63.930380625      ,55.1025279166667  ,35.528916875      ,727.26 ,106514.13   ,86.62
4.0   ,7405              ,24.0              ,219.98047520833302   ,156.24326083333298,63.737214375      ,55.311219375      ,35.334838333333295,715.5  ,105800.29   ,91.08
5.0   ,7405              ,24.0              ,219.26666729166698   ,155.715575416667  ,63.551091875      ,55.508233125      ,35.1554952083333  ,695.01 ,102249.56   ,76.96
6.0   ,7405              ,24.0              ,220.00718041666698   ,156.549462916667  ,63.4577175        ,56.170836875      ,35.05228625       ,698.77 ,102823.5    ,77.13
7.0   ,7405              ,24.0              ,220.000260208333     ,156.664965416667  ,63.3352947916667  ,55.851693125      ,34.9238783333333  ,704.08 ,103977.99   ,77.96
8.0   ,7405              ,24.0              ,219.99351354166697   ,156.783487083333  ,63.2100264583333  ,55.5960308333333  ,34.792864583333305,715.93 ,105761.32   ,78.99
9.0   ,7405              ,24.0              ,220.005737083333     ,156.8641125       ,63.141624583333304,55.963499375      ,34.7263552083333  ,724.21 ,107035.76   ,80.08
10.0  ,7405              ,22.0              ,221.328425511982     ,157.53832177425   ,63.7901037377318  ,50.7739700073409  ,35.3519457763818  ,459.83 ,68263.31    ,46.21
11.0  ,7405              ,24.0              ,220.24048708333302   ,157.86784375      ,62.3726433333333  ,53.0466685416667  ,33.946829583333304,715.1  ,104865.93   ,80.7
12.0  ,7405              ,24.0              ,221.267634375        ,159.451065208333  ,61.816569166666696,53.7363160416667  ,33.38708375       ,706.8  ,104234.1    ,79.73
13.0  ,7405              ,24.0              ,221.04465019564202   ,158.75822307562999,62.286427120012206,54.2446123148884  ,33.84168292885639 ,677.29 ,99517.49    ,90.57
14.0  ,7405              ,24.0              ,220.74979458333303   ,157.674225416667  ,63.075569166666696,56.5342339583333  ,34.6457629166667  ,690.38 ,99850.49    ,92.18
15.0  ,7405              ,24.0              ,220.64014083333302   ,157.278304791667  ,63.3618360416667  ,56.6154214583333  ,34.9337295833333  ,694.3  ,100306.26   ,92.07
16.0  ,7405              ,24.0              ,220.50405041666698   ,157.184593541667  ,63.319456875      ,52.051159375      ,34.891520625      ,690.7  ,99959.04    ,91.25
17.0  ,7405              ,19.5              ,221.450514487179     ,159.1132395       ,62.3372749871795  ,53.5592241282051  ,34.6702996666667  ,238.45 ,34915.85    ,28.15
18.0  ,7405              ,24.0              ,220.85169229166698   ,158.074501458333  ,62.7771908333333  ,54.4861533333333  ,34.351681875      ,647.11 ,95262.3     ,84.88
19.0  ,7405              ,24.0              ,218.41471229166697   ,156.68516375      ,61.729548541666695,54.2953472916667  ,33.3138270833333  ,745.92 ,108793.22   ,94.23
20.0  ,7405              ,24.0              ,215.496858958333     ,155.559215208333  ,59.93764375       ,61.5610270833333  ,31.5292833333333  ,804.85 ,116554.82   ,101.88
21.0  ,7405              ,24.0              ,214.823228125        ,154.685157916667  ,60.1380702083333  ,62.32717875       ,31.7394379166667  ,818.89 ,120308.03   ,56.75
22.0  ,7405              ,24.0              ,215.832540833333     ,155.597785416667  ,60.2347554166667  ,59.584406875      ,31.83577875       ,781.21 ,115374.09   ,54.32
23.0  ,7405              ,24.0              ,214.877320625        ,154.957708333333  ,59.919612291666695,60.77416125       ,31.5442664583333  ,786.16 ,116058.03   ,54.55
24.0  ,7405              ,24.0              ,215.380821702128     ,155.333105243794  ,60.047716458333305,59.444948125      ,31.670640000000002,757.43 ,111152.61   ,51.84
25.0  ,7405              ,24.0              ,216.118733333333     ,155.978424791667  ,60.1403085416667  ,58.6071666666667  ,31.7631739583333  ,726.5  ,107050.89   ,50.67
26.0  ,7405              ,24.0              ,215.98383375         ,156.196996666667  ,59.7868370833333  ,58.662368333333305,31.399544375      ,723.96 ,106456.63   ,51.3
27.0  ,7405              ,24.0              ,215.818061875        ,156.378440833333  ,59.4396210416667  ,57.54992875       ,31.0531575        ,715.28 ,105827.77   ,52.96
28.0  ,7405              ,24.0              ,215.57881625         ,156.488181666667  ,59.090634583333305,58.445866875      ,30.703629375      ,710.62 ,104860.95   ,50.87
29.0  ,7405              ,24.0              ,215.303869583333     ,156.599273333333  ,58.70459625       ,58.7027177083333  ,30.313028125      ,708.04 ,104155.82   ,50.48
30.0  ,7405              ,24.0              ,214.949325           ,156.713477708333  ,58.2358472916667  ,58.4183258333333  ,29.8462841666667  ,702.73 ,102417.8    ,51.7
31.0  ,7405              ,24.0              ,214.85795            ,157.393641875     ,57.464308125      ,57.8828072916667  ,28.779579375      ,695.74 ,102284.59   ,51.69
32.0  ,7405              ,24.0              ,214.897290208333     ,157.989340208333  ,56.90795          ,57.3499054166667  ,28.519126875      ,658.27 ,96651.98    ,94.65
33.0  ,7405              ,24.0              ,214.821907234043     ,157.946562859043  ,56.875344375      ,58.007215833333305,28.476897499999996,576.35 ,85082.22    ,79.35
34.0  ,7405              ,16.58333          ,219.558992981325     ,158.58117644543   ,60.977816535894796,49.151798387754496,35.1229209132906  ,369.83 ,55419.55    ,51.46
35.0  ,7405              ,23.83333          ,217.25173717366403   ,162.78941776938402,54.462319404279604,50.51060779353539 ,26.0316011588351  ,418.45 ,63214.18    ,59.2
36.0  ,7405              ,24.0              ,215.09275833333302   ,160.765950833333  ,54.326807499999994,55.688099583333305,25.902731458333303,588.96 ,88192.51    ,91.66
37.0  ,7405              ,24.0              ,215.258875           ,160.19683020833298,55.0620447916667  ,55.970378125      ,26.645965416666698,571.88 ,85616.39    ,81.73
38.0  ,7405              ,24.0              ,215.35081520833302   ,160.211500208333  ,55.139315         ,56.005880000000005,26.72682125       ,512.52 ,76979.08    ,71.37
39.0  ,7405              ,24.0              ,215.384688333333     ,160.417245833333  ,54.967442500000004,56.2540377083333  ,26.55513          ,563.26 ,84307.54    ,78.69
40.0  ,7405              ,24.0              ,215.40707854166698   ,160.598766875     ,54.8083116666667  ,51.65249875       ,26.38999625       ,564.26 ,84364.91    ,78.72
41.0  ,7405              ,24.0              ,215.332402291667     ,160.78178666666702,54.550615625      ,50.82098125       ,26.13235          ,565.09 ,84351.11    ,78.88
42.0  ,7405              ,24.0              ,215.21147125         ,161.100662083333  ,54.1108091666667  ,51.418441875      ,25.6762591666667  ,563.73 ,84183.26    ,79.55
43.0  ,7405              ,24.0              ,215.11890875         ,161.48407         ,53.63483875       ,54.23162875       ,25.20113875       ,563.46 ,83869.61    ,79.95
44.0  ,7405              ,24.0              ,215.0673625          ,161.972975833333  ,53.0943866666667  ,56.6362335416667  ,24.65926375       ,563.38 ,83853.8     ,80.3
45.0  ,7405              ,24.0              ,215.047056875        ,163.022999166667  ,52.0240577083333  ,57.4850147916667  ,23.586095833333303,523.33 ,77885.2     ,247.1
46.0  ,7405              ,24.0              ,215.135841041667     ,163.889087291667  ,51.24675375       ,56.1229179166667  ,22.7983402083333  ,521.97 ,77858.58    ,247.09
47.0  ,7405              ,24.0              ,215.165233125        ,164.23292125      ,50.932311875      ,57.4888879166667  ,22.4799297916667  ,490.49 ,73240.81    ,212.89
48.0  ,7405              ,24.0              ,215.18770520833303   ,164.695822916667  ,50.4918822916667  ,56.1194127083333  ,22.0375085416667  ,491.71 ,72894.63    ,253.18
49.0  ,7405              ,24.0              ,215.46357625         ,165.92741708333298,49.5361591666667  ,56.63337875       ,21.080241666666698,488.44 ,72637.03    ,203.87
50.0  ,7405              ,24.0              ,215.75903729166697   ,166.743107291667  ,49.01593          ,57.2037204166667  ,20.539875208333303,481.59 ,71515.34    ,199.79
51.0  ,7405              ,24.0              ,215.97684375         ,167.411707083333  ,48.565136666666696,56.7750322916667  ,20.10156125       ,492.02 ,73095.92    ,215.32
52.0  ,7405              ,24.0              ,215.05076083333302   ,166.18858895833299,48.862171875      ,56.395445833333305,20.379876875      ,476.08 ,70443.1     ,246.8
53.0  ,7405              ,24.0              ,214.827446666667     ,166.341906458333  ,48.485540208333305,56.4181727083333  ,20.0162647916667  ,466.34 ,69327.14    ,243.78
54.0  ,7405              ,24.0              ,214.76105791666697   ,166.58482583333299,48.1762320833333  ,55.0266783333333  ,19.70736875       ,463.64 ,68816.51    ,241.88
55.0  ,7405              ,24.0              ,214.92327895833301   ,167.474182291667  ,47.4490966666667  ,58.9371110416667  ,19.0092664583333  ,459.37 ,68361.17    ,240.96
56.0  ,7405              ,24.0              ,215.03451333333302   ,167.638692916667  ,47.3958204166667  ,58.306706875      ,18.922445833333303,458.09 ,68466.24    ,240.67
57.0  ,7405              ,22.41666          ,216.044918328569     ,168.827077624883  ,47.217840703686505,55.548099895087006,18.5391694888712  ,290.87 ,44919.06    ,139.31
58.0  ,7405              ,24.0              ,215.11191583333303   ,170.299727916667  ,44.8121879166667  ,56.696215625      ,16.28781875       ,487.33 ,72965.95    ,255.69
59.0  ,7405              ,24.0              ,215.062116458333     ,168.715968541667  ,46.3461479166667  ,58.7558216666667  ,17.86825          ,468.63 ,69274.03    ,242.24
60.0  ,7405              ,24.0              ,215.20504229166698   ,169.047845416667  ,46.157196875      ,58.984813958333305,17.68069          ,465.25 ,69890.63    ,239.87
61.0  ,7405              ,24.0              ,215.378423958333     ,169.281014791667  ,46.0974091666667  ,59.719150625      ,17.6143902083333  ,466.58 ,69742.96    ,232.45
62.0  ,7405              ,24.0              ,215.5264675          ,169.770946458333  ,45.7555210416667  ,59.4673352083333  ,17.2686347916667  ,464.22 ,69237.42    ,233.39
63.0  ,7405              ,24.0              ,215.61353270833303   ,170.11225         ,45.5012827083333  ,60.03879375       ,17.046906666666697,458.9  ,68830.6     ,251.5
64.0  ,7405              ,24.0              ,215.844104583333     ,170.957298333333  ,44.88680625       ,58.891433125      ,16.437135625      ,460.83 ,68637.71    ,260.12
65.0  ,7405              ,24.0              ,216.08671333333302   ,171.44501375      ,44.6416995833333  ,59.25229625       ,16.1953645833333  ,457.95 ,68330.74    ,245.26
66.0  ,7405              ,24.0              ,215.96572375         ,171.367452083333  ,44.5982716666667  ,56.663951875      ,16.150985208333303,481.51 ,71884.8     ,258.75
67.0  ,7405              ,24.0              ,214.62624645833301   ,169.636055416667  ,44.9901910416667  ,57.164944375      ,16.5216022916667  ,489.43 ,72278.48    ,243.17
68.0  ,7405              ,24.0              ,215.092216875        ,171.84478916666697,43.247427708333305,58.9592747916667  ,14.724694583333301,375.93 ,56054.71    ,218.34
69.0  ,7405              ,24.0              ,215.02680083333303   ,171.355533333333  ,43.6712675        ,59.0438766666667  ,15.149589375      ,378.38 ,56399.27    ,218.27
70.0  ,7405              ,24.0              ,215.15461583333303   ,172.015629166667  ,43.138986666666696,58.062896875      ,14.60492125       ,379.41 ,56289.52    ,217.93
71.0  ,7405              ,24.0              ,215.1299525          ,171.87886208333302,43.2510904166667  ,57.6084620833333  ,14.743590625      ,377.42 ,56568.78    ,212.92
72.0  ,7405              ,24.0              ,212.895102708333     ,168.858664166667  ,44.0364385416667  ,56.5826210416667  ,15.51763875       ,417.98 ,61912.18    ,228.26
73.0  ,7405              ,24.0              ,210.166693958333     ,166.757789166667  ,43.4089047916667  ,63.582511875      ,14.91257          ,507.75 ,75078.33    ,262.22
74.0  ,7405              ,24.0              ,209.822861875        ,167.205560625     ,42.61730125       ,62.684893541666696,14.1075447916667  ,469.73 ,69712.66    ,252.81
75.0  ,7405              ,24.0              ,210.093806458333     ,169.043002291667  ,41.0508041666667  ,60.702031875      ,12.535359375      ,521.26 ,77390.65    ,293.66
76.0  ,7405              ,24.0              ,210.18405208333303   ,169.818613333333  ,40.36543875       ,62.5604577083333  ,11.8383425        ,518.32 ,76994.95    ,297.2
77.0  ,7405              ,24.0              ,210.545219791667     ,170.397071458333  ,40.148148333333296,58.1398797916667  ,11.605805625      ,493.37 ,73656.88    ,289.96
78.0  ,7405              ,24.0              ,210.630947083333     ,170.858417916667  ,39.7725291666667  ,56.2308804166667  ,11.218987291666698,509.21 ,76002.49    ,303.18
79.0  ,7405              ,24.0              ,213.44830479166697   ,176.09832521719898,37.3499795744681  ,50.7239554166667  ,8.75123915780142  ,351.8  ,52975.29    ,240.5
