Date,Close
8/6/2012,26.107651
8/7/2012,26.377876
8/8/2012,26.438896
8/9/2012,26.587088
8/10/2012,26.517351
8/13/2012,26.491201
8/14/2012,26.438549
8/15/2012,26.499977
8/16/2012,27.008911
8/17/2012,27.114212
8/20/2012,26.973816
8/21/2012,27.026459
8/22/2012,26.798319
8/23/2012,26.552622
8/24/2012,26.815865
8/27/2012,26.929943
8/28/2012,26.877295
8/29/2012,26.894842
8/30/2012,26.605272
8/31/2012,27.044012
9/4/2012,26.6667
9/5/2012,26.6667
9/6/2012,27.509077
9/7/2012,27.158091
9/10/2012,26.956263
9/11/2012,27.017687
9/12/2012,27.008911
9/13/2012,27.149307
9/14/2012,27.386227
9/17/2012,27.386227
9/18/2012,27.359909
9/19/2012,27.245834
9/20/2012,27.596825
9/21/2012,27.368683
9/24/2012,27.008911
9/25/2012,26.6667
9/26/2012,26.473648
9/27/2012,26.46487
9/28/2012,26.11388
10/1/2012,25.876963
10/2/2012,26.026134
10/3/2012,26.201633
10/4/2012,26.350805
10/5/2012,26.192856
10/8/2012,26.13143
10/9/2012,25.692694
10/10/2012,25.429445
10/11/2012,25.403122
10/12/2012,25.622488
10/15/2012,25.894512
10/16/2012,25.876963
10/17/2012,25.964712
10/18/2012,25.885738
10/19/2012,25.131096
10/22/2012,24.569513
10/23/2012,24.613384
10/24/2012,24.481766
10/25/2012,24.464212
10/26/2012,24.753784
10/31/2012,25.043356
11/1/2012,25.903286
11/2/2012,25.885738
11/5/2012,25.999807
11/6/2012,26.201633
11/7/2012,25.517191
11/8/2012,25.280275
11/9/2012,25.297825
11/12/2012,24.76256
11/13/2012,23.966333
11/14/2012,23.745159
11/15/2012,23.585917
11/16/2012,23.462059
11/19/2012,23.647844
11/20/2012,23.630152
11/21/2012,23.84248
11/23/2012,24.505997
11/26/2012,24.231739
11/27/2012,23.957491
11/28/2012,24.205204
11/29/2012,23.84248
11/30/2012,23.550531
12/3/2012,23.382437
12/4/2012,23.329363
12/5/2012,23.594761
12/6/2012,23.647844
12/7/2012,23.408981
12/10/2012,23.833632
12/11/2012,24.169815
12/12/2012,24.099041
12/13/2012,23.984028
12/14/2012,23.71862
12/17/2012,23.97518
12/18/2012,24.382137
12/19/2012,24.160965
12/20/2012,24.488302
12/21/2012,24.284822
12/24/2012,23.939793
12/26/2012,23.762857
12/27/2012,23.851324
12/28/2012,23.488602
12/31/2012,23.630152
1/2/2013,24.435221
1/3/2013,24.107883
1/4/2013,23.656691
1/7/2013,23.612459
1/8/2013,23.488602
1/9/2013,23.621304
1/10/2013,23.408981
1/11/2013,23.736315
1/14/2013,23.789396
1/15/2013,24.072502
1/16/2013,23.922104
1/17/2013,24.107883
1/18/2013,24.107883
1/22/2013,24.019415
1/23/2013,24.426373
1/24/2013,24.444063
1/25/2013,24.665241
1/28/2013,24.691784
1/29/2013,24.780249
1/30/2013,24.6387
1/31/2013,24.284822
2/1/2013,24.709476
2/4/2013,24.27598
2/5/2013,24.329062
2/6/2013,24.187508
2/7/2013,24.134428
2/8/2013,24.373293
2/11/2013,24.647547
2/12/2013,24.665241
2/13/2013,24.797943
2/14/2013,24.806795
2/15/2013,24.780249
2/19/2013,25.021101
2/20/2013,24.860533
2/21/2013,24.52157
2/22/2013,24.762409
2/25/2013,24.414526
2/26/2013,24.414526
2/27/2013,24.807014
2/28/2013,24.798092
