,Unnamed: 0,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
0,0,linear,27.08596274343813,26.416923307845668,134.35332600000038,100,reg_cal_housing.csv
1,1,linear,27.08596274343813,26.41692330784564,151.47432570000092,100,reg_cal_housing.csv
2,2,linear,27.08596274343813,26.41692330784565,154.32951070000126,100,reg_cal_housing.csv
3,3,linear,27.08596274343813,26.41692330784577,149.9933786999973,100,reg_cal_housing.csv
4,4,linear,27.08596274343813,26.416923307845625,149.99204309999914,100,reg_cal_housing.csv
5,5,linear,27.08596274343813,26.41692330784569,148.38974510000116,100,reg_cal_housing.csv
6,6,linear,27.08596274343813,26.416923307845973,145.8940311999977,100,reg_cal_housing.csv
7,7,linear,27.08596274343813,26.41692330784604,148.73116870000013,100,reg_cal_housing.csv
8,8,linear,27.08596274343813,26.416923307845725,153.26490130000093,100,reg_cal_housing.csv
9,9,linear,27.08596274343813,26.416923307845863,156.9344192000026,100,reg_cal_housing.csv
10,10,linear,27.08596274343813,26.416923307845884,153.99356140000236,100,reg_cal_housing.csv
11,11,linear,27.08596274343813,26.41692330784572,149.76539889999913,100,reg_cal_housing.csv
12,12,linear,27.08596274343813,26.41692330784576,141.0883060999986,100,reg_cal_housing.csv
13,13,linear,27.08596274343813,26.41692330784563,153.09480839999742,100,reg_cal_housing.csv
14,14,linear,27.08596274343813,26.416923307845995,142.86456660000113,100,reg_cal_housing.csv
15,15,linear,27.08596274343813,26.41692330784597,142.61453930000062,100,reg_cal_housing.csv
16,16,linear,27.08596274343813,26.41692330784593,127.49349099999743,100,reg_cal_housing.csv
17,17,linear,27.08596274343813,26.41692330784568,127.7303948000008,100,reg_cal_housing.csv
18,18,linear,27.08596274343813,26.416923307845856,123.73617860000012,100,reg_cal_housing.csv
19,19,linear,27.08596274343813,26.416923307845693,133.0969412000013,100,reg_cal_housing.csv
20,20,linear,27.08596274343813,26.41692330784584,162.81888129999788,100,reg_cal_housing.csv
21,21,linear,27.08596274343813,26.41692330784562,168.073726300001,100,reg_cal_housing.csv
22,22,linear,27.08596274343813,26.416923307845668,164.43219690000114,100,reg_cal_housing.csv
23,23,linear,27.08596274343813,26.416923307845757,169.48621579999963,100,reg_cal_housing.csv
24,24,linear,27.08596274343813,26.41692330784597,150.61575769999763,100,reg_cal_housing.csv
25,25,linear,27.08596274343813,26.41692330784617,169.72022579999975,100,reg_cal_housing.csv
26,26,linear,27.08596274343813,26.41692330784572,144.1844490000003,100,reg_cal_housing.csv
27,27,linear,27.08596274343813,26.41692330784564,151.44289019999997,100,reg_cal_housing.csv
28,28,linear,27.08596274343813,26.416923307846,149.62718299999688,100,reg_cal_housing.csv
29,29,linear,27.08596274343813,26.4169233078461,155.54482429999916,100,reg_cal_housing.csv
30,30,branched,25.56332969092313,22.598172170125924,384.01743740000165,100,reg_cal_housing.csv
31,31,branched,25.56332969092313,22.610562651514748,394.7048528999985,100,reg_cal_housing.csv
32,32,branched,25.56332969092313,22.799602220791016,389.4031001000003,100,reg_cal_housing.csv
33,33,branched,25.56332969092313,22.66833981477031,395.78766650000034,100,reg_cal_housing.csv
34,34,branched,25.56332969092313,22.749491669055413,387.0274328000014,100,reg_cal_housing.csv
35,35,branched,25.56332969092313,22.765653330783355,430.3956040000012,100,reg_cal_housing.csv
36,36,branched,25.56332969092313,22.72452308367293,434.05189899999823,100,reg_cal_housing.csv
37,37,branched,25.56332969092313,22.76984124202469,439.6441403999997,100,reg_cal_housing.csv
38,38,branched,25.56332969092313,22.7641209497189,443.1419824000004,100,reg_cal_housing.csv
39,39,branched,25.56332969092313,22.65640157513718,453.8617587000008,100,reg_cal_housing.csv
40,40,branched,25.56332969092313,22.601469246483717,405.0349193999973,100,reg_cal_housing.csv
41,41,branched,25.56332969092313,22.76253996500604,396.9668041000005,100,reg_cal_housing.csv
42,42,branched,25.56332969092313,22.779898643281346,406.2110202999975,100,reg_cal_housing.csv
43,43,branched,25.56332969092313,22.78115748476108,420.7693981999983,100,reg_cal_housing.csv
44,44,branched,25.56332969092313,22.7950152931118,427.26989239999966,100,reg_cal_housing.csv
45,45,branched,25.56332969092313,22.738801968554306,436.9582643000031,100,reg_cal_housing.csv
46,46,branched,25.56332969092313,22.617555098122164,448.9991299999965,100,reg_cal_housing.csv
47,47,branched,25.56332969092313,22.69102570208444,456.57329759999993,100,reg_cal_housing.csv
48,48,branched,25.56332969092313,22.747276171037814,463.79103570000007,100,reg_cal_housing.csv
49,49,branched,25.56332969092313,22.71979889897456,506.4881838999936,100,reg_cal_housing.csv
50,50,branched,25.56332969092313,22.75062111567173,514.0897149999946,100,reg_cal_housing.csv
51,51,branched,25.56332969092313,22.724594070419563,520.3325972999955,100,reg_cal_housing.csv
52,52,branched,25.56332969092313,22.83012964488534,521.0057861000023,100,reg_cal_housing.csv
53,53,branched,25.56332969092313,22.78437953627506,528.6646781000018,100,reg_cal_housing.csv
54,54,branched,25.56332969092313,22.833426300248263,536.2245595999993,100,reg_cal_housing.csv
55,55,branched,25.56332969092313,22.74795619606044,547.660567699997,100,reg_cal_housing.csv
56,56,branched,25.56332969092313,22.68351653543868,558.6274136000065,100,reg_cal_housing.csv
57,57,branched,25.56332969092313,22.80313071019507,599.4685621000026,100,reg_cal_housing.csv
58,58,branched,25.56332969092313,22.80570507923275,694.4024128000019,100,reg_cal_housing.csv
59,59,branched,25.56332969092313,22.71218507445753,714.7978696999999,100,reg_cal_housing.csv
60,0,complex,61.357086487278025,58.60374812434453,1259.1503552,100,reg_cal_housing.csv
