76.04_8.72,76.84_10.72,76.04_10.72,75.24_10.72,76.84_12.72,76.04_12.72,75.24_12.72,76.04_14.72,75.24_14.72,76.04_16.72,75.24_16.72,74.44_16.72,76.84_18.72,76.04_18.72,75.24_18.72,76.84_20.72,76.04_20.72,75.24_20.72,74.44_20.72,73.64_20.72,76.04_22.72,75.24_22.72,74.44_22.72,76.84_24.72,76.04_24.72,75.24_24.72,74.44_24.72,77.64_26.72,76.84_26.72,76.04_26.72,75.24_26.72,77.64_28.72,76.84_28.72,76.04_28.72,76.84_30.72,76.84_32.72,dates
-0.9429926872253418,-0.9540661573410034,-0.9324262738227844,-0.9484321475028992,-0.9254006147384644,-0.8350763320922852,-0.9378270506858826,-0.8793251514434814,-0.8551689386367798,-0.8717499375343323,-0.8649730086326599,-0.8468536734580994,-0.8764435648918152,-0.8613837957382202,-0.8633155822753906,-0.8746559023857117,-0.8392058610916138,-0.843315839767456,-0.8808215856552124,-0.8561297059059143,-0.8355050086975098,-0.8700559139251709,-0.8931943774223328,-0.8226810693740845,-0.8818144798278809,-0.8993535041809082,-0.8731575608253479,-0.8726392984390259,-0.8794806599617004,-0.9018659591674805,-0.8936450481414795,-0.8869449496269226,-0.9082123637199402,-0.908892035484314,-0.8655326962471008,-0.8571264743804932,2002-01-01
-0.9429926872253418,-0.9540661573410034,-0.9324262738227844,-0.9484321475028992,-0.9254006147384644,-0.8350763320922852,-0.9378270506858826,-0.8793251514434814,-0.8551689386367798,-0.8717499375343323,-0.8649730086326599,-0.8468536734580994,-0.8764435648918152,-0.8613837957382202,-0.8633155822753906,-0.8746559023857117,-0.8392058610916138,-0.843315839767456,-0.8808215856552124,-0.8561297059059143,-0.8355050086975098,-0.8700559139251709,-0.8931943774223328,-0.8226810693740845,-0.8818144798278809,-0.8993535041809082,-0.8731575608253479,-0.8726392984390259,-0.8794806599617004,-0.9018659591674805,-0.8936450481414795,-0.8869449496269226,-0.9082123637199402,-0.908892035484314,-0.8655326962471008,-0.8571264743804932,2002-01-02
-0.954142689704895,-0.9785547256469727,-0.9381546974182129,-0.9688293933868408,-0.9181135892868042,-0.839381754398346,-0.9658218026161194,-0.9124587774276733,-0.8699125051498413,-0.9040085673332214,-0.8988909721374512,-0.8931309580802917,-0.9221034049987793,-0.9173238277435303,-0.8859205842018127,-0.9193269610404968,-0.9182707071304321,-0.8905087113380432,-0.902778148651123,-0.8610440492630005,-0.899532675743103,-0.8997057676315308,-0.9096250534057617,-0.8987012505531311,-0.899617075920105,-0.9171112775802612,-0.8857424259185791,-0.891229510307312,-0.9091999530792236,-0.9192060828208923,-0.9100556969642639,-0.8946163058280945,-0.9212217330932617,-0.9245350360870361,-0.8768075108528137,-0.8817238807678223,2002-01-03
-0.9316319823265076,-0.947024941444397,-0.9136208891868591,-0.952111542224884,-0.8898147940635681,-0.8300979733467102,-0.9425989389419556,-0.8825202584266663,-0.8445139527320862,-0.8846825361251831,-0.899573802947998,-0.8955415487289429,-0.898405909538269,-0.9014892578125,-0.8789236545562744,-0.8943372964859009,-0.9060925245285034,-0.8993036150932312,-0.907671332359314,-0.8485280275344849,-0.9001420140266418,-0.9205424189567566,-0.924747884273529,-0.902929425239563,-0.9185508489608765,-0.9339627027511597,-0.8839597105979919,-0.8895406126976013,-0.9078320860862732,-0.9333034753799438,-0.921724796295166,-0.8895254731178284,-0.9284058809280396,-0.9331213235855103,-0.8965317606925964,-0.8937684893608093,2002-01-04
-0.9160447716712952,-0.9322234988212585,-0.8910077810287476,-0.9335333108901978,-0.8750650882720947,-0.8150771856307983,-0.9168592095375061,-0.8639845252037048,-0.8339745402336121,-0.8836106061935425,-0.8815910220146179,-0.8849964737892151,-0.9051584005355835,-0.8982089757919312,-0.8732783198356628,-0.8945367932319641,-0.9071013927459717,-0.8781866431236267,-0.8757110238075256,-0.8199495673179626,-0.8811120986938477,-0.8788369297981262,-0.8961780071258545,-0.8859859108924866,-0.8759598135948181,-0.8922367691993713,-0.8645420670509338,-0.8777251839637756,-0.8896488547325134,-0.8953134417533875,-0.897191047668457,-0.8778250217437744,-0.9064094424247742,-0.9040746092796326,-0.8823980689048767,-0.8698400855064392,2002-01-05
-0.8916307091712952,-0.9121045470237732,-0.8484475016593933,-0.9109410643577576,-0.8525213599205017,-0.7904937863349915,-0.8935955762863159,-0.8563885688781738,-0.8256872892379761,-0.8675917387008667,-0.8681679964065552,-0.8731054663658142,-0.8747153878211975,-0.8781763911247253,-0.8723270297050476,-0.8656175136566162,-0.8911792635917664,-0.886472761631012,-0.8849416971206665,-0.8243209719657898,-0.8723580837249756,-0.8865428566932678,-0.8983723521232605,-0.8791427612304688,-0.8783292770385742,-0.8938025236129761,-0.8704081177711487,-0.8674801588058472,-0.8715600967407227,-0.9000949263572693,-0.9000568389892578,-0.871890664100647,-0.9016090035438538,-0.9027429819107056,-0.8822230100631714,-0.8708707690238953,2002-01-06
-0.8964553475379944,-0.9197865128517151,-0.8298481106758118,-0.9166281819343567,-0.8571949601173401,-0.8002182245254517,-0.8987351059913635,-0.8540432453155518,-0.8288898468017578,-0.8687415719032288,-0.8580840826034546,-0.8748602867126465,-0.8547983765602112,-0.8739362359046936,-0.8570632934570312,-0.8583927750587463,-0.8797616958618164,-0.8566399812698364,-0.8564119935035706,-0.8037420511245728,-0.8544600009918213,-0.8583323955535889,-0.8679234385490417,-0.8665088415145874,-0.8577712178230286,-0.8680144548416138,-0.8536920547485352,-0.8666042685508728,-0.8713088631629944,-0.872734785079956,-0.8762803077697754,-0.8665717840194702,-0.8879114985466003,-0.876171350479126,-0.8533231616020203,-0.8442721962928772,2002-01-07
-0.9142791032791138,-0.9355369806289673,-0.8341773152351379,-0.9321364760398865,-0.8649337887763977,-0.8252815008163452,-0.9128596186637878,-0.8566714525222778,-0.8328232169151306,-0.8820009231567383,-0.856681227684021,-0.8703259229660034,-0.88111811876297,-0.8806222677230835,-0.8594317436218262,-0.8851771354675293,-0.8896461725234985,-0.86002117395401,-0.836158812046051,-0.7810599207878113,-0.8634471893310547,-0.8527546525001526,-0.8370113372802734,-0.8665921688079834,-0.8493077158927917,-0.8385562300682068,-0.8282278776168823,-0.8577946424484253,-0.8737884163856506,-0.8644852638244629,-0.8506975173950195,-0.8537003993988037,-0.8724429607391357,-0.8641386032104492,-0.8143489360809326,-0.8112645745277405,2002-01-08
-0.921499490737915,-0.9354448914527893,-0.8324218392372131,-0.9396116733551025,-0.8615383505821228,-0.8470569252967834,-0.9223309755325317,-0.8547666072845459,-0.8330634236335754,-0.8703114986419678,-0.8518244624137878,-0.8599075675010681,-0.872711718082428,-0.8616637587547302,-0.8547669649124146,-0.8733907341957092,-0.8659425377845764,-0.8484317660331726,-0.8287514448165894,-0.7701284885406494,-0.8448536396026611,-0.8513889312744141,-0.830875813961029,-0.8516401052474976,-0.8456221222877502,-0.8457066416740417,-0.8168280720710754,-0.8619601130485535,-0.8751809000968933,-0.8634046316146851,-0.8536832332611084,-0.872198760509491,-0.8731643557548523,-0.8717162013053894,-0.7978585362434387,-0.799993634223938,2002-01-09
-0.9327292442321777,-0.947650134563446,-0.8408311605453491,-0.9507820010185242,-0.8660969138145447,-0.861242949962616,-0.9376235008239746,-0.8614671230316162,-0.8377660512924194,-0.875482439994812,-0.8674873113632202,-0.8778769969940186,-0.8695736527442932,-0.8744492530822754,-0.8730093836784363,-0.8674989938735962,-0.8801360726356506,-0.8634045720100403,-0.8624871373176575,-0.788506269454956,-0.8602017164230347,-0.8664489388465881,-0.8675843477249146,-0.8600643277168274,-0.865948498249054,-0.8796916007995605,-0.8388381004333496,-0.8736368417739868,-0.8836585879325867,-0.8791475892066956,-0.8765531778335571,-0.8913130760192871,-0.8969826102256775,-0.8817570805549622,-0.8159923553466797,-0.8269588351249695,2002-01-10
