dataset,iter_num,pipeline_type,IOptTuner mean,SimultaneousTuner mean,OptunaTuner mean,IOptTuner std,SimultaneousTuner std,OptunaTuner std
australia.csv,20,branched,0.3314816526960701,-0.04726177964111062,0.02194358930312461,0.04682694554322617,0.10661641455592072,0.24247612546248407
australia.csv,20,complex,0.7569822979600502,0.0,0.055619217229747164,0.0,0.0,0.3329566726698073
australia.csv,20,linear,-0.5193229534630355,0.0,1.4292924822950301,0.0,0.0,2.7456138020711642
australia.csv,100,branched,0.5069411627671055,0.04544022301750653,0.16608192094626198,0.05065353372513169,0.12422204116536349,1.0198308800220386
australia.csv,100,complex,0.7625888307673065,0.0,0.3725653073429951,0.0,0.0,0.7264747122271573
australia.csv,100,linear,-0.5193229534630355,0.0,6.031680574594871,0.0,0.0,3.7109723771196665
beer.csv,20,branched,0.1947651095833224,0.05623860685016009,0.040065520002252344,0.5237497210245255,0.22778565401824938,0.3613088467615465
beer.csv,20,complex,0.0,0.0,0.2185591710306206,0.0,0.0,0.7595791107190709
beer.csv,20,linear,-0.09786283731576084,0.0,-0.15432579310985256,0.0,0.0,1.3850994364965838
beer.csv,100,branched,1.1554971608634133,-0.04667980827878422,1.3171633093205821,0.36521031689329075,0.2903701786756072,0.733654938419591
beer.csv,100,complex,-0.8633284197074753,0.0,1.071515045491551,0.06653271558158058,0.0,1.0700060454176725
beer.csv,100,linear,0.11662684363760434,0.0,-0.8940910056676615,0.0,0.0,16.397581706200032
salaries.csv,20,branched,15.074568083046923,-2.8592680367970327,10.09291876088857,5.03966963834556,4.611799126699014,11.97570133952733
salaries.csv,20,complex,0.0,0.0,18.32252811401603,0.0,0.0,10.129710094219151
salaries.csv,20,linear,0.5808740769268326,0.0,6.826847364906073,0.0,0.0,32.983467106881314
salaries.csv,100,branched,15.297623831124197,-0.17556468830600996,24.693865601030407,3.4559692462887,4.218533969634259,8.082384804722468
salaries.csv,100,complex,22.580675376834893,0.0,21.36806387616236,4.472732811392701,0.0,6.939777731000842
salaries.csv,100,linear,1.4589745012910527,0.0,-1.471068467823657,0.0,0.0,46.561020980767644
