dataset,iter_num,pipeline_type,IOptTuner time mean,SimultaneousTuner time mean,OptunaTuner time mean
australia.csv,20,branched,13.91794295667205,1.5242860566591845,25.28338975000273
australia.csv,20,complex,15.26003431332841,1.74535068666252,34.68976330333389
australia.csv,20,linear,1.505973456664166,0.158661616667329,9.10987762666385
australia.csv,100,branched,70.3773108699941,1.5218293400093292,174.44420574666776
australia.csv,100,complex,69.56550982666667,1.7514636099959413,197.7332363033318
australia.csv,100,linear,6.989915473336199,0.15848779332979268,70.84563666000031
beer.csv,20,branched,39.718689806673986,3.8481839899982635,130.14866028331454
beer.csv,20,complex,36.73935851334051,4.447975446664107,182.35709604332612
beer.csv,20,linear,2.0980147399939595,0.209570479998365,72.19907439334007
beer.csv,100,branched,223.39526677333052,3.867868136676649,346.4907665733287
beer.csv,100,complex,173.0845035566599,4.4635081766794125,660.1927027699965
beer.csv,100,linear,9.871690653326612,0.20869344667298717,230.84422992666174
salaries.csv,20,branched,62.07597552333803,5.811825376675309,135.85439654333362
salaries.csv,20,complex,42.71371820999775,7.098671863321215,191.58158503999778
salaries.csv,20,linear,1.7116906066813196,0.18878554666104413,88.469413663346
salaries.csv,100,branched,501.57479657666215,5.797286446652531,1238.7283293466744
salaries.csv,100,complex,401.42487847667655,7.07501846999318,1323.55987990334
salaries.csv,100,linear,9.982703643338755,0.18844467666155346,354.56056394665114
