Date,Open,High,Low,Close,Height,Volume,gap,gap_center
2019-10-01,48.299999,49.189999,47.826,48.938,48.938,30813000,48.938,48.938
2019-10-02,48.658001,48.93,47.88600200000001,48.625999,48.625999,28157000,48.625999,48.625999
2019-10-03,46.372002,46.896,44.855999,46.605999,46.605999,75422500,46.605999,46.605999
2019-10-04,46.321999,46.956001,45.613997999999995,46.285999,46.285999,39975000,46.285999,46.285999
2019-10-07,45.959998999999996,47.71200200000001,45.709998999999996,47.543999,47.543999,40321000,47.543999,47.543999
2019-10-08,47.174,48.787997999999995,46.900002,48.009997999999996,48.009997999999996,43391000,48.009997999999996,48.009997999999996
2019-10-09,48.264,49.459998999999996,48.130001,48.905998,48.905998,34472000,48.905998,48.905998
2019-10-10,49.056,49.855999,48.31600200000001,48.948002,48.948002,31416500,48.948002,48.948002
2019-10-11,49.43,50.216,49.362,49.577999,49.577999,42377000,49.577999,49.577999
2019-10-14,49.580002,51.709998999999996,49.425999,51.391998,51.391998,51025000,51.391998,51.391998
2019-10-15,51.540001000000004,52.0,50.824001,51.577999,51.577999,32164000,51.577999,51.577999
2019-10-16,51.478001,52.419998,51.383998999999996,51.950001,51.950001,33420500,51.950001,51.950001
2019-10-17,52.5,52.956001,52.034,52.394001,52.394001,23846500,52.394001,52.394001
2019-10-18,52.139998999999996,52.560001,51.02,51.389998999999996,51.389998999999996,28749000,51.389998999999996,51.389998999999996
2019-10-21,51.666,51.900002,50.035999,50.700001,50.700001,25101500,50.700001,50.700001
2019-10-22,50.863997999999995,51.666,50.169998,51.116001000000004,51.116001000000004,23004000,51.116001000000004,51.116001000000004
2019-10-23,50.900002,51.228001,50.27,50.936001,50.936001,26305500,50.936001,50.936001
2019-10-24,59.674,60.986,57.84,59.936001,59.936001,148604500,59.936001,59.936001
2019-10-25,59.543999,66.0,59.222,65.625999,65.625999,150030500,65.625999,65.625999
2019-10-28,65.508003,68.167999,64.519997,65.542,65.542,94351500,65.542,65.542
2019-10-29,63.998001,64.860001,62.950001,63.243999,63.243999,63421500,63.243999,63.243999
2019-10-30,62.599998,63.757999,61.993999,63.001999,63.001999,48209000,63.001999,63.001999
2019-10-31,62.619999,63.799999,62.599998,62.984001,62.984001,25335000,62.984001,62.984001
2019-11-01,63.264,63.296001000000004,61.959998999999996,62.661999,62.661999,31919500,62.661999,62.661999
2019-11-04,62.959998999999996,64.388,61.852001,63.493999,63.493999,43935000,63.493999,63.493999
2019-11-05,63.924,64.702003,63.223999,63.444,63.444,34717000,63.444,63.444
2019-11-06,63.599998,65.344002,62.900002,65.316002,65.316002,39704500,65.316002,65.316002
2019-11-07,65.82800300000001,68.300003,65.603996,67.108002,67.108002,72336500,67.108002,67.108002
2019-11-08,66.900002,67.491997,66.5,67.428001,67.428001,30346000,67.428001,67.428001
2019-11-11,68.790001,69.837997,68.400002,69.01799799999999,69.01799799999999,49933500,69.01799799999999,69.01799799999999
2019-11-12,69.379997,70.07399699999999,68.807999,69.986,69.986,36797000,69.986,69.986
2019-11-13,71.0,71.265999,69.03600300000001,69.222,69.222,42100500,69.222,69.222
2019-11-14,69.222,70.76799799999998,68.582001,69.870003,69.870003,32324500,69.870003,69.870003
2019-11-15,70.127998,70.559998,69.67199699999999,70.433998,70.433998,24045000,70.433998,70.433998
2019-11-18,70.584,70.629997,69.220001,69.998001,69.998001,22002000,69.998001,69.998001
2019-11-19,70.349998,71.998001,69.559998,71.903999,71.903999,38624000,71.903999,71.903999
2019-11-20,72.0,72.239998,69.914001,70.444,70.444,33625500,70.444,70.444
2019-11-21,70.902,72.167999,70.800003,70.966003,70.966003,30550000,70.966003,70.966003
2019-11-22,68.031998,68.199997,66.0,66.608002,66.608002,84353000,66.608002,66.608002
2019-11-25,68.863998,68.914001,66.891998,67.26799799999999,67.26799799999999,61697500,67.26799799999999,67.26799799999999
2019-11-26,67.054001,67.099998,65.41999799999999,65.783997,65.783997,39737000,65.783997,65.783997
2019-11-27,66.22399899999999,66.78600300000001,65.71399699999999,66.258003,66.258003,27778000,66.258003,66.258003
2019-11-29,66.222,66.251999,65.5,65.987999,65.987999,12328000,65.987999,65.987999
