56_86,61_86,61_91,66_86,66_96,66_91
-0.12296882271766663,-0.18777599930763245,-0.16109709441661835,-0.2266162931919098,-0.1917969435453415,-0.20565283298492432
-0.030259674414992332,-0.08971861749887466,-0.07592350989580154,-0.10614623874425888,-0.1020566001534462,-0.12327975034713745
-0.05566275864839554,-0.13863079249858856,-0.07647708058357239,-0.16726182401180267,-0.08320092409849167,-0.1318599432706833
-0.07329265773296356,-0.10805237293243408,-0.10522735118865967,-0.1251211017370224,-0.11431142687797546,-0.1246102973818779
-0.07057452201843262,-0.1331591159105301,-0.10287299007177353,-0.15942230820655823,-0.11456485837697983,-0.14020036160945892
-0.09229818731546402,-0.13435572385787964,-0.14101894199848175,-0.16869968175888062,-0.17831933498382568,-0.1624562293291092
-0.06838832050561905,-0.13156117498874664,-0.09867681562900543,-0.17111961543560028,-0.11715658754110336,-0.13208618760108948
0.10035791248083115,0.07438257336616516,0.08406265079975128,0.06126078963279724,0.07578393071889877,0.06253080815076828
0.1790410578250885,0.09214070439338684,0.12137016654014587,0.03198360651731491,0.057476721704006195,0.03891608491539955
0.10639554262161255,0.01466462668031454,0.062414102256298065,-0.027635781094431877,0.027169309556484222,-0.009996131993830204
0.07441885769367218,0.01143619790673256,0.03309648856520653,-0.02147286757826805,-0.00223705917596817,-0.024350415915250778
0.14716912806034088,0.08925807476043701,0.10903730243444443,0.052819401025772095,0.06421329826116562,0.05367155745625496
0.210035040974617,0.10343988239765167,0.14808565378189087,0.03225821256637573,0.07766740024089813,0.06716398894786835
0.08445170521736145,0.0017726141959428787,0.036334432661533356,-0.03691525384783745,-0.0012287393910810351,-0.01773642748594284
-0.01183918584138155,-0.09737712889909744,-0.06864481419324875,-0.1421360820531845,-0.1113138273358345,-0.12664510309696198
-0.084654301404953,-0.14811277389526367,-0.11060357093811035,-0.1658899486064911,-0.1225263699889183,-0.16325604915618896
-0.011189407669007778,-0.0672348365187645,-0.05316759645938873,-0.0925738662481308,-0.08980460464954376,-0.10815005749464035
0.04686947166919708,-0.045573458075523376,-0.01382065936923027,-0.10001984238624573,-0.07376603782176971,-0.09705516695976257
-0.0352206826210022,-0.12557506561279297,-0.09105771034955978,-0.16674913465976715,-0.1420307755470276,-0.16341151297092438
-0.11469415575265884,-0.18115505576133728,-0.15223731100559235,-0.20081423223018646,-0.17461182177066803,-0.20342794060707092
-0.09261878579854965,-0.14913363754749298,-0.14265677332878113,-0.17754678428173065,-0.1697225719690323,-0.18093562126159668
-0.08015233278274536,-0.1494751125574112,-0.13308478891849518,-0.18779237568378448,-0.171933114528656,-0.18060749769210815
-0.16659069061279297,-0.22494861483573914,-0.2108413279056549,-0.24815036356449127,-0.22592397034168243,-0.24313154816627502
-0.20132632553577423,-0.24606798589229584,-0.2718084752559662,-0.2731388807296753,-0.3295946717262268,-0.30040717124938965
-0.1948874294757843,-0.23872968554496765,-0.23704950511455536,-0.26782432198524475,-0.26585280895233154,-0.26896169781684875
