datetime,wind_speed,value
201008179 ,5.8 ,112
2010081710,5.7 ,122
2010081711,5.6 ,131
2010081712,5.8 ,131
2010081713,5.9 ,138
2010081714,6.2 ,134
2010081715,6.4 ,127
2010081716,6.3 ,127
2010081717,6.1 ,112
2010081718,6   ,108
2010081719,6   ,108
2010081720,5.5 ,108
2010081721,5.1 ,118
2010081722,4.9 ,126
2010081723,4.5 ,133
201008180 ,4.3 ,133
201008181 ,4   ,137
201008182 ,3.8 ,133
201008183 ,3.9 ,124
201008184 ,3.9 ,124
201008185 ,3.8 ,106
201008186 ,3.5 ,98
201008187 ,3.4 ,94
201008188 ,3.2 ,94
201008189 ,3   ,99
2010081810,2.8 ,105
2010081811,2.8 ,111
2010081812,2.8 ,111
2010081813,2.7 ,119
2010081814,2.7 ,118
2010081815,2.7 ,114
2010081816,2.5 ,114
2010081817,2.3 ,101
2010081818,2.2 ,94
2010081819,2.1 ,90
2010081820,2.3 ,90
2010081821,2.5 ,92
2010081822,2.7 ,97
2010081823,3   ,102
201008190 ,3.3 ,102
201008191 ,3.7 ,109
201008192 ,4   ,109
201008193 ,4.4 ,105
201008194 ,4.8 ,105
201008195 ,5.1 ,92
201008196 ,5.3 ,85
201008197 ,5.5 ,80
201008198 ,5.4 ,80
201008199 ,5.2 ,80
2010081910,5   ,85
2010081911,4.8 ,92
2010081912,4.8 ,92
2010081913,4.6 ,104
2010081914,4.4 ,109
2010081915,4.3 ,110
2010081916,4.1 ,110
2010081917,3.7 ,105
2010081918,3.5 ,100
2010081919,3.5 ,96
2010081920,3.3 ,96
2010081921,3.2 ,93
2010081922,3.1 ,95
2010081923,3.3 ,98
201008200 ,3.8 ,98
201008201 ,4.3 ,106
201008202 ,4.5 ,110
201008203 ,4.3 ,111
201008204 ,4   ,111
201008205 ,3.9 ,106
201008206 ,3.7 ,100
201008207 ,3.2 ,95
201008208 ,3.2 ,95
201008209 ,3   ,90
2010082010,2.8 ,91
2010082011,2.7 ,94
2010082012,2.5 ,94
2010082013,2.3 ,104
2010082014,2.1 ,110
2010082015,2   ,114
2010082016,1.5 ,114
2010082017,1.1 ,116
2010082018,0.8 ,113
2010082019,0.4 ,108
2010082020,0.3 ,108
2010082021,0.7 ,99
2010082022,1.4 ,96
2010082023,1.7 ,95
201008210 ,1.7 ,95
201008211 ,1.5 ,99
201008212 ,1.5 ,103
201008213 ,1.6 ,106
201008214 ,1.9 ,106
201008215 ,2.1 ,108
201008216 ,2.4 ,106
201008217 ,2.7 ,101
201008218 ,2.7 ,101
201008219 ,2.9 ,93
2010082110,3.1 ,91
2010082111,3.2 ,90
2010082112,3.3 ,90
2010082113,3.2 ,96
