Pipeline,Iteration,ROC AUC before tuning,ROC AUC after tuning,"Time, sec."
A,0,0.7913287070073818,0.6486075892719831,20.254412461072206
A,1,0.7905964385866413,0.642562350138403,19.556502304971218
A,2,0.7911927389112713,0.6477401340850653,20.60542506352067
A,3,0.7976972933369849,0.642562350138403,22.207373548299074
A,4,0.7963624829769127,0.6463458243802874,21.95218575745821
A,5,0.7968699158396374,0.6527199873250039,21.825947243720293
A,6,0.791034914321157,0.642562350138403,21.75898688659072
A,7,0.7960650472796907,0.642562350138403,22.711825154721737
A,8,0.7977792929606927,0.6477401340850653,21.74290446564555
A,9,0.8009813613766337,0.642562350138403,22.189867321401834
A,10,0.7960276322860227,0.642562350138403,21.70406298339367
A,11,0.8042793310043697,0.642562350138403,21.431872233748436
A,12,0.7922517482756457,0.6412850333555242,22.243981029838324
A,13,0.8019856898536372,0.6463458243802874,20.83855313435197
A,14,0.8034016075290875,0.642562350138403,23.19723877310753
A,15,0.7977838115146907,0.642562350138403,20.208438843488693
A,16,0.7932117271374306,0.642562350138403,21.49785302951932
A,17,0.7889935355643136,0.6463458243802874,20.511322006583214
A,18,0.8003993462920406,0.642562350138403,21.359834153205156
A,19,0.7901621116223982,0.6527199873250039,22.80688339471817
A,20,0.7966215079123538,0.6477401340850653,22.222050357609987
A,21,0.8020378864124871,0.6527199873250039,21.716903023421764
A,22,0.797438579046979,0.642562350138403,20.917592454701662
A,23,0.7926767779314887,0.6463458243802874,22.24865150079131
A,24,0.7995318967371492,0.6320440866038207,20.3162820674479
A,25,0.786938137164152,0.642562350138403,22.630756609141827
A,26,0.7942281515602123,0.642562350138403,20.445089530199766
A,27,0.795363659121432,0.6412850333555242,21.97287216037512
A,28,0.7892224029732533,0.642562350138403,21.467249169945717
A,29,0.7984192465931802,0.6463458243802874,22.052218072116375
B,0,0.690634200674762,0.6773797559093513,23.01310868561268
B,1,0.6913731967700792,0.6722290152476714,23.31689554452896
B,2,0.6939975907836724,0.7830709468273125,21.717996910214424
B,3,0.6958916380989273,0.6812337859685648,21.99468008056283
B,4,0.6635965793974827,0.6875378027561269,22.85203030332923
B,5,0.6712342568589621,0.6403454528658591,22.605531938374043
B,6,0.6846599532682136,0.6917678303491934,22.043497297912836
B,7,0.7018137265829567,0.6593424457640735,22.334189221262932
B,8,0.7001739673311248,0.7753795426423122,21.658428963273764
B,9,0.712292312928423,0.6675835736309284,21.730868887156248
B,10,0.6949539044637996,0.8567024177452595,33.56214036792517
B,11,0.6850182518272873,0.6277211259241636,23.29234128445387
B,12,0.706431329950225,0.6570858310713674,21.56090770661831
B,13,0.6825719327577195,0.6890741378089675,21.723544247448444
B,14,0.7002498334459188,0.8582094575627922,24.437733054161072
B,15,0.7005763693847553,0.6717536229437809,21.828852087259293
B,16,0.7034384575515971,0.7341140291700394,20.60483942180872
B,17,0.6898953256662128,0.6904314485091863,20.728853035718203
B,18,0.6811916428254621,0.680926432952727,21.74012989550829
B,19,0.6905431660066174,0.6761233794696241,23.02906722947955
B,20,0.6806026340812382,0.7037787796872289,22.62356371805072
B,21,0.6757782965648941,0.6717255206194236,21.92885459214449
B,22,0.6881457231301958,0.6965225607430133,21.454449214041233
B,23,0.6838628570750032,0.6600184368741802,23.00422051548958
B,24,0.7092656910074276,0.6741632847021823,22.239483427256346
B,25,0.6692867466768103,0.6687477952839909,21.30022670701146
B,26,0.6666102176111036,0.6639656450736161,23.15180329978466
B,27,0.7014143393458439,0.6754954251115988,24.0227563790977
B,28,0.6911624431587877,0.6640862354906358,20.341529119759798
B,29,0.6787024273388123,0.6450544872345432,21.447191961109638
C,0,0.7508035447011028,0.7866378023629097,499.4805259630084
C,1,0.7455807858048905,0.6931124315383921,320.11089938879013
C,2,0.7363023256414633,0.720298797127104,511.1871208809316
C,3,0.7581608799530122,0.7377492569740991,507.36910128220916
C,4,0.7630759009253121,0.7454554189782028,329.13558952882886
C,5,0.7338345969247666,0.7472764336841786,655.2516847737134
C,6,0.7299600351514426,0.6896182524143621,449.784281745553
C,7,0.7363469398272378,0.7479807258265556,399.0168566778302
C,8,0.7514658212962212,0.7303195660596724,564.1533829085529
C,9,0.7573641755193747,0.6993778345911882,377.1938935816288
C,10,0.7342522732500105,0.7129265882573247,264.1027684956789
C,11,0.716402142413527,0.7412133038383356,394.77486269548535
C,12,0.7434009210565503,0.7570182340393583,402.01727582514286
C,13,0.740963024073066,0.7410096986821969,439.6524655222893
C,14,0.7381102084194392,0.7110708771970824,529.0736715458333
C,15,0.7418741405424716,0.7244580630562052,441.8205002248287
C,16,0.7425029523643226,0.6933292803152676,622.8728841729462
C,17,0.749375453166133,0.7016083207311146,461.1238740719855
C,18,0.7414194581087481,0.7394334715650626,435.22341480106115
C,19,0.7454129073994957,0.723817657247204,966.2096096649766
C,20,0.7653785634416348,0.7259905263445668,351.48043828085065
C,21,0.7585220041592258,0.7275779970225994,982.3024750463665
C,22,0.7451454559628221,0.7193379485216296,432.9492074549198
C,23,0.7561065809222501,0.7370244855088627,615.4681844525039
C,24,0.7464544117201503,0.697401956205058,328.22974975034595
C,25,0.7570751471779035,0.7475649505653418,479.47921347245574
C,26,0.7333979774320494,0.7074072164643848,628.6124056018889
C,27,0.726375955970721,0.672071557954162,304.0055597089231
C,28,0.7469471141689279,0.7337774587588617,384.1409366540611
C,29,0.7400378036069168,0.7610452021841555,786.3743333294988
