date,85_15,65_40,65_60,94_60,35_60,50_40,80_70,95_53,110_70,65_50,40_50
2006-02-10,0.8893,0.90389997,0.994,0.89119995,0.2564,0.94509995,0.98459995,0.98089993,0.969,0.9456,0.9272999
2006-02-11,0.8583,0.9336,0.9986,0.96329993,0.35719997,0.96049994,0.98379993,0.98819995,0.9836999,0.9815999,0.9657
2006-02-12,0.85209996,0.89379996,0.964,0.9115,0.2733,0.95259994,0.98859996,0.9725999,0.97229993,0.90569997,0.9607
2006-02-13,0.8540999,0.76519996,0.85649997,0.8061,0.20639999,0.92359996,0.96639997,0.9311999,0.9557,0.79109997,0.8001999
2006-02-14,0.8454,0.7286999,0.8037999,0.751,0.21459998,0.9385,0.9757999,0.94629997,0.94839996,0.8282,0.85459995
2006-02-15,0.8714,0.82979995,0.90739995,0.83559996,0.1354,0.9311,0.98709995,0.9478,0.9396,0.84839994,0.8329
2006-02-16,0.89339995,0.8461999,0.909,0.86419994,0.095599994,0.9529,0.9922999,0.951,0.946,0.9287999,0.835
2006-02-17,0.89309996,0.9396,0.95019996,0.9472,0.1462,0.9543,0.9957999,0.98389995,0.96239996,0.96879995,0.85269994
2006-02-18,0.8803,0.92319995,0.9425,0.9499,0.09719999,0.959,0.9996,0.97339994,0.9882999,0.96729994,0.8092
2006-02-19,0.8597999,0.90979993,0.955,0.9424,0.0852,0.94299996,0.9992,0.9629,0.9967,0.9615,0.78999996
2006-02-20,0.8929,0.9050999,0.9575,0.9593,0.1134,0.9571,1.0,0.9715,0.9948999,0.94049996,0.84019995
2006-02-21,0.8772,0.88809997,0.9511,0.9553,0.1217,0.97849995,0.9979,0.96419996,0.9982,0.9400999,0.8583999
2006-02-22,0.86419994,0.84549993,0.92819995,0.88839996,0.122099996,0.9707999,0.9954,0.9343999,0.98489994,0.9358999,0.83959997
2006-02-23,0.89479995,0.62659997,0.69089997,0.69299996,0.1016,0.9325,0.96619993,0.89879996,0.96699995,0.8664,0.7739
2006-02-24,0.8717,0.81619996,0.78589994,0.8171,0.0778,0.94339997,0.96059996,0.9406,0.9876999,0.9351999,0.8258
2006-02-25,0.88619995,0.85249996,0.849,0.85969996,0.0855,0.9415,0.97699994,0.9757999,0.98599994,0.9332,0.82009995
2006-02-26,0.84879994,0.89269996,0.85239995,0.9143999,0.0723,0.94979995,0.9887999,0.979,0.9679,0.9449,0.8146
2006-02-27,0.854,0.78699994,0.90129995,0.88729995,0.0477,0.9407,0.9962999,0.94659996,0.9768999,0.9593,0.8163
2006-02-28,0.89589995,0.85389996,0.9304,0.9385,0.0808,0.96559995,0.9990999,0.96949995,0.96529996,0.96229994,0.85419995
2006-03-01,0.9328,0.8565999,0.9279999,0.9347,0.066099994,0.97209996,1.0,0.95809996,0.9568,0.97129995,0.82979995
2006-03-02,0.8765,0.90369993,0.9675,0.9557,0.061799996,0.97889996,1.0,0.96989995,0.97349995,0.98279995,0.8731
2006-03-03,0.875,0.9543,0.98639995,0.9379999,0.0685,0.97449994,1.0,0.9311999,0.9129999,0.9979,0.90669996
2006-03-04,0.8724,0.9471,0.97279996,0.89259994,0.10029999,0.9596,0.9993,0.90739995,0.9032999,0.9995,0.91779995
2006-03-05,0.88909996,0.90419996,0.94479996,0.89669997,0.0621,0.96169996,1.0,0.92309994,0.9385,0.9957,0.90769994
2006-03-06,0.9250999,0.9304,0.95839995,0.9301999,0.1167,0.95419997,0.9996,0.9568,0.97699994,0.9990999,0.8704999
2006-03-07,0.93029994,0.91629994,0.96009994,0.9375999,0.14829999,0.91069996,0.9978,0.96739995,0.9940999,0.9985,0.82839996
2006-03-08,0.9425,0.90239996,0.98239994,0.8693,0.16659999,0.9268999,0.9775999,0.94659996,0.97049993,0.9972,0.8249
2006-03-09,0.91309994,0.9086,0.9979999,0.8433,0.2077,0.92989993,0.9718999,0.92609996,0.969,0.9993,0.84479994
2006-03-10,0.8954,0.92399997,0.9997999,0.90129995,0.2083,0.9471,0.9936999,0.96,0.9679,0.9999,0.8707
2006-03-11,0.8783,0.96309996,0.9968,0.9422,0.18939999,0.95299995,0.98309994,0.96519995,0.97779995,0.9972,0.8975
2006-03-12,0.8733,0.9318,0.98779994,0.9150999,0.1379,0.9511,0.9851999,0.96619993,0.98019993,0.9793999,0.8813
2006-03-13,0.85779995,0.8813,0.9761999,0.89269996,0.058399994,0.9536,0.96019995,0.95699996,0.9697,0.96379995,0.8746
2006-03-14,0.85249996,0.91879994,0.98709995,0.8761,0.0257,0.9557,0.96,0.96029997,0.94839996,0.99209994,0.8108
2006-03-15,0.89879996,0.9282999,0.9147,0.90889996,0.035099998,0.9389,0.9833999,0.96949995,0.96029997,0.94659996,0.6863
2006-03-16,0.90409994,0.9554,0.9368999,0.94979995,0.077599995,0.9657,0.98289996,0.9765,0.96479994,0.9343,0.48009998
2006-03-17,0.9268999,0.97099996,0.96409994,0.95839995,0.035299998,0.96949995,0.98269993,0.979,0.96329993,0.9554,0.6951
2006-03-18,0.91379994,0.9325999,0.9868999,0.955,0.0525,0.97029996,0.989,0.9768999,0.994,0.96709996,0.7417
2006-03-19,0.9107999,0.9425,0.9944999,0.9325,0.063899994,0.96839994,0.9887999,0.9750999,0.979,0.9904999,0.79499996
2006-03-20,0.9225999,0.94769996,0.9937999,0.95559996,0.1017,0.95269996,0.9943,0.96959996,0.9772999,0.98399997,0.83889997
2006-03-21,0.91959995,0.9381,0.9711,0.9517,0.07619999,0.88259995,0.98809993,0.97319996,0.97229993,0.95629996,0.8149
2006-03-22,0.8763,0.84519994,0.97819996,0.91599995,0.14029999,0.8568999,0.97059995,0.94869995,0.95869994,0.92539996,0.79989994
2006-03-23,0.8622,0.7922999,0.98559994,0.8736999,0.1459,0.8778,0.94119996,0.9093999,0.90639997,0.8889,0.8157
2006-03-24,0.89599997,0.86249995,0.9861999,0.8704,0.20189998,0.87909997,0.9407999,0.91989994,0.84189993,0.88089997,0.81949997
2006-03-25,0.90559995,0.93,0.97749996,0.89629996,0.3013,0.9244999,0.9597,0.9504,0.875,0.9275999,0.8397
2006-03-26,0.8665999,0.9446,0.97409993,0.91959995,0.2871,0.85459995,0.97179997,0.95519996,0.9226999,0.9240999,0.8097
2006-03-27,0.89669997,0.9322,0.964,0.9079,0.32279998,0.8824,0.97409993,0.9715,0.8657,0.9336,0.84799993
2006-03-28,0.8736999,0.9186999,0.974,0.9193999,0.42,0.91519994,0.9736999,0.97239995,0.826,0.92219996,0.88729995
2006-03-29,0.89589995,0.95979995,0.98469996,0.9268999,0.59419996,0.91099995,0.97569996,0.9765,0.8296,0.95159996,0.89959997
2006-03-30,0.91699994,0.9672,0.9790999,0.9314,0.72889996,0.9268999,0.97389996,0.969,0.84089994,0.96159995,0.95089996
2006-03-31,0.89579993,0.9395,0.96059996,0.9229999,0.6827,0.9322999,0.9775999,0.95119995,0.84699994,0.9536,0.95309997
2006-04-01,0.9371,0.9707999,0.9904999,0.9375999,0.77339995,0.9326999,0.9882999,0.956,0.84999996,0.98249996,0.97789997
2006-04-02,0.91089994,0.9707999,0.9876999,0.95089996,0.817,0.9032999,0.9918,0.96669996,0.87939996,0.97659993,0.9061
2006-04-03,0.9349,0.96689993,0.97699994,0.95629996,0.8314,0.8943,0.9983999,0.95829993,0.9226999,0.97179997,0.8615999
2006-04-04,0.9314,0.96209997,0.9679,0.96279997,0.8039,0.88299996,0.9997999,0.96699995,0.9251999,0.965,0.84639996
2006-04-05,0.94369996,0.95949996,0.97739995,0.95619994,0.79209995,0.86559993,1.0,0.97569996,0.91859996,0.95919997,0.7979
2006-04-06,0.9422,0.96779996,0.97209996,0.9736,0.8032,0.83489996,0.9992,0.9901999,0.94519997,0.9654,0.75589997
2006-04-07,0.9396,0.96059996,0.96389997,0.97429997,0.8062999,0.8315,0.999,0.98169994,0.95489997,0.96799994,0.75869995
2006-04-08,0.9297,0.9657999,0.9604,0.9883999,0.77259994,0.8033,0.999,0.98789996,0.97699994,0.9725999,0.7017
2006-04-09,0.9154999,0.9553,0.95879996,0.994,0.8183,0.8054999,0.9999,0.9946,0.98859996,0.96919996,0.7122
2006-04-10,0.9381,0.96209997,0.9622,0.9930999,0.75879997,0.775,1.0,0.996,0.9954,0.9657999,0.654
2006-04-11,0.91749996,0.96559995,0.96389997,0.9947999,0.76019996,0.7739,1.0,0.9911,0.9969999,0.9632,0.63869995
2006-04-12,0.9379999,0.9636,0.9615,0.9926999,0.75159997,0.77939993,1.0,0.9926999,0.999,0.9629,0.6926
2006-04-13,0.909,0.9596,0.95759994,0.9926999,0.8072,0.7503,1.0,0.9893999,0.9985,0.9475,0.6497
2006-04-14,0.91359997,0.94659996,0.9593,0.9936,0.8529999,0.7403,1.0,0.98629993,0.97529995,0.95189995,0.72309995
2006-04-15,0.92289996,0.95739996,0.96459997,0.9936999,0.8654999,0.761,1.0,0.97859997,0.9668,0.9565,0.7035
2006-04-16,0.944,0.9554,0.97229993,0.9851999,0.77549994,0.7279999,1.0,0.98059994,0.97959995,0.96279997,0.54309994
2006-04-17,0.9329999,0.94089997,0.96409994,0.98779994,0.70369995,0.70809996,1.0,0.98629993,0.9904999,0.95509994,0.46229997
2006-04-18,0.95189995,0.9343,0.9675,0.9926999,0.7122,0.7646,1.0,0.98399997,0.99029994,0.9471,0.5535
2006-04-19,0.96079993,0.951,0.97589993,0.995,0.6754,0.8058999,1.0,0.9840999,0.97819996,0.96409994,0.5656
2006-04-20,0.96799994,0.95979995,0.97749996,0.9948999,0.6568,0.73279995,1.0,0.99069995,0.95009995,0.97059995,0.5178
2006-04-21,0.9578,0.9657999,0.98489994,0.9988,0.65089995,0.7415999,1.0,0.9972999,0.9385,0.97339994,0.5602
2006-04-22,0.97589993,0.97279996,0.9915,0.9996,0.64699996,0.8061,1.0,0.9982999,0.96309996,0.96839994,0.5621
2006-04-23,0.96779996,0.979,0.99209994,1.0,0.6811,0.78669995,1.0,0.9997999,0.96209997,0.97559994,0.60739994
2006-04-24,0.96269995,0.98559994,0.9944999,1.0,0.72739995,0.78519994,1.0,0.9999,0.9453,0.97879994,0.6704999
2006-04-25,0.9722,0.98279995,0.999,0.9999,0.79539996,0.8125,1.0,0.9999,0.92849994,0.98989993,0.7254999
2006-04-26,0.9386999,0.99099994,0.9995,1.0,0.84319997,0.8788,1.0,1.0,0.9107999,0.9933999,0.77909994
2006-04-27,0.96799994,0.9948999,0.9995,0.9999,0.90009993,0.90739995,1.0,0.9997999,0.9579,0.9962999,0.886
2006-04-28,0.97029996,0.96239996,0.9986999,0.98649997,0.84809995,0.83239996,1.0,0.98749995,0.89049995,0.9579,0.8735
2006-04-29,0.96959996,0.96229994,0.9865999,0.98999995,0.78049994,0.76669997,1.0,0.98849994,0.91459996,0.95449996,0.84919995
2006-04-30,0.9553,0.94759995,0.97679996,0.9365999,0.65489995,0.7186,0.98929995,0.95759994,0.90379995,0.959,0.8157
2006-05-01,0.9747,0.92289996,0.97989994,0.85959995,0.32709998,0.7136,0.9729,0.91889995,0.88509995,0.92069995,0.7047
2006-05-02,0.96619993,0.94799995,0.9962999,0.92379993,0.23149998,0.6775,0.9782999,0.9279999,0.85959995,0.96629995,0.44349998
2006-05-03,0.97629994,0.9535,0.99069995,0.9654,0.19859998,0.76409996,0.9979,0.95559996,0.8953,0.96909994,0.45529997
2006-05-04,0.98169994,0.97479993,0.9947999,0.97479993,0.12679999,0.71059996,1.0,0.96689993,0.9311,0.9908999,0.39249998
2006-05-05,0.96309996,0.9435,0.9529,0.92069995,0.0801,0.7451,0.9947999,0.92639995,0.9304,0.97709996,0.27299997
2006-05-06,0.97479993,0.944,0.9443,0.9365,0.07569999,0.746,0.9811999,0.886,0.9254999,0.9561,0.17369999
2006-05-07,0.9607,0.9907999,0.91499996,0.9100999,0.061799996,0.82299995,0.96339995,0.8763,0.92639995,0.9361,0.1321
2006-05-08,0.9829999,0.90089995,0.8842,0.8332,0.0371,0.72199994,0.97589993,0.7979999,0.864,0.85919994,0.12719999
2006-05-09,0.98989993,0.90419996,0.9161999,0.87799996,0.0433,0.77419996,1.0,0.8803,0.8229,0.8789,0.0508
2006-05-10,1.0,0.97169995,0.9372999,0.93099993,0.054099996,0.91899997,1.0,0.91849995,0.8346,0.90379995,0.051999997
2006-05-11,1.0,0.97479993,0.9186999,0.9411,0.0542,0.82989997,1.0,0.935,0.90659994,0.88449997,0.0436
2006-05-12,1.0,0.99099994,0.9482,0.9297999,0.0232,0.85559994,1.0,0.9371,0.9350999,0.90949994,0.059
2006-05-13,1.0,0.98109996,0.9414,0.8932,0.0346,0.89479995,1.0,0.8892,0.8727,0.9403,0.039499998
2006-05-14,1.0,0.9421,0.90979993,0.9343999,0.0429,0.78069997,1.0,0.89329994,0.86039996,0.9293,0.018299999
2006-05-15,0.97859997,0.78779995,0.87939996,0.9378,0.0274,0.74799997,0.9961,0.85059994,0.79419994,0.79819995,0.024199998
2006-05-16,0.96369994,0.84129995,0.7961999,0.9004,0.035699997,0.83489996,0.92249995,0.8026999,0.65479994,0.82369995,0.033899996
2006-05-17,0.9972,0.854,0.7509,0.85129994,0.021199998,0.8025999,0.91249996,0.7297999,0.694,0.71419996,0.009
2006-05-18,0.989,0.8813,0.80349994,0.8839,0.028999997,0.74,0.96459997,0.7603,0.6811999,0.7411999,0.013099999
2006-05-19,0.9997999,0.87549996,0.7211,0.9032999,0.023799999,0.69769996,0.9729,0.78069997,0.71209997,0.7218999,0.012099999
2006-05-20,0.97559994,0.8846,0.66849995,0.90849996,0.030899998,0.69439995,0.95829993,0.71419996,0.8139,0.6933,0.0058999998
2006-05-21,0.9404,0.8308,0.6665999,0.8619999,0.040599998,0.6433,0.9297,0.72789997,0.7818,0.7004,0.010299999
2006-05-22,0.98349994,0.82769996,0.6882,0.8781,0.028399998,0.5891,0.95419997,0.7161,0.7043,0.7847,0.0047
2006-05-23,1.0,0.9446,0.6636999,0.90949994,0.0069,0.59639996,0.94049996,0.79129994,0.58039993,0.8647,0.007999999
2006-05-24,1.0,0.9615,0.6976,0.91139996,0.0164,0.6268,0.9492,0.81509995,0.53739995,0.8736,0.010499999
2006-05-25,1.0,0.8806,0.69909996,0.92149997,0.0042,0.5426,0.9503,0.82839996,0.61079997,0.8781,0.0
2006-05-26,1.0,0.8626999,0.72639996,0.9007,0.026499998,0.5537,0.94869995,0.8185,0.63519996,0.89989996,0.0127
2006-05-27,1.0,0.88259995,0.77099997,0.8715999,0.0029,0.50939995,0.94259995,0.8215,0.68799996,0.91319996,0.0076999995
2006-05-28,1.0,0.8669999,0.7797,0.8875,0.0367,0.49599996,0.95189995,0.831,0.7435,0.9275999,0.0297
2006-05-29,0.9999,0.7607,0.75939995,0.88009995,0.0222,0.42959997,0.9482,0.8228,0.7990999,0.91099995,0.0050999997
2006-05-30,0.97669995,0.6482,0.7503,0.83529997,0.045099996,0.41379997,0.92919993,0.76519996,0.8233,0.83519995,0.018099999
2006-05-31,0.9657,0.5649,0.6906,0.75869995,0.049999997,0.3462,0.8821,0.7176,0.7972999,0.8043,0.024699999
2006-06-01,0.97339994,0.59919995,0.69699997,0.7415999,0.028399998,0.40919998,0.8928,0.7547,0.85169995,0.8408,0.0041
