File,Metric,gap,gap_center
Synthetic.csv,MAE,0.3452491921938747,27.704262723229302
Synthetic.csv,RMSE,0.4151251337198245,35.211477583025655
Synthetic.csv,MedAE,0.3315271543496995,23.886086217146612
Synthetic.csv,MAPE,0.19002604907398013,14.698119264947449
Synthetic.csv,Min gap value,1.284883950501781,1.284883950501781
Synthetic.csv,Max gap value,2.509816958568578,2.5065127599756964
Sea_hour.csv,MAE,0.1500381917186956,6.978950077898948
Sea_hour.csv,RMSE,0.1856714607184397,8.761966544984883
Sea_hour.csv,MedAE,0.12743167283582463,6.22714517569618
Sea_hour.csv,MAPE,0.19191146810006782,7.540610618348601
Sea_hour.csv,Min gap value,0.36,0.5
Sea_hour.csv,Max gap value,1.51,1.4
Sea_10_240.csv,MAE,0.12443187291772288,37.57852829745514
Sea_10_240.csv,RMSE,0.14834277635314835,48.14446619989086
Sea_10_240.csv,MedAE,0.11428382971834306,31.795305554258874
Sea_10_240.csv,MAPE,0.2043824098641035,59.66337030564602
Sea_10_240.csv,Min gap value,0.4046,0.4046
Sea_10_240.csv,Max gap value,0.9887,0.9831
Temperature.csv,MAE,9.483616749421026,41.63216917949598
Temperature.csv,RMSE,12.14098440017498,51.91841762673546
Temperature.csv,MedAE,7.317093644845642,37.92831877999765
Temperature.csv,MAPE,0.03509451229357326,0.15425047941614936
Temperature.csv,Min gap value,243.39,248.66
Temperature.csv,Max gap value,300.89,289.78
Traffic.csv,MAE,1733.7540881900313,11175.397262333081
Traffic.csv,RMSE,1987.5335972664034,13575.555839972223
Traffic.csv,MedAE,1682.1290974134981,10296.487415370531
Traffic.csv,MAPE,1.7914081216808277,6.565251449993189
Traffic.csv,Min gap value,216.0,216.0
Traffic.csv,Max gap value,7065.0,7280.0
tsla.csv,MAE,86.71896124282726,48.52309874047735
tsla.csv,RMSE,113.66648638896089,60.1611588393161
tsla.csv,MedAE,62.79384225062833,36.4558344655627
tsla.csv,MAPE,0.19922922685767366,0.16261787873252959
tsla.csv,Min gap value,72.244003,156.007996
tsla.csv,Max gap value,883.090027,498.320007
