File,Metric,gap,gap_center
Synthetic.csv,MAE,0.1949892767615928,0.19171850312724859
Synthetic.csv,RMSE,0.285391297165897,0.23077753254453112
Synthetic.csv,MedAE,0.11148840304328433,0.1747220388518449
Synthetic.csv,MAPE,12.026851593265478,9.86964013497787
Synthetic.csv,Min gap value,1.284883950501781,1.284883950501781
Synthetic.csv,Max gap value,2.509816958568578,2.5065127599756964
Sea_hour.csv,MAE,0.17142104138600683,0.11824007109425728
Sea_hour.csv,RMSE,0.21785366429887246,0.15032974841131616
Sea_hour.csv,MedAE,0.14544379471750152,0.09241203829126682
Sea_hour.csv,MAPE,20.746066006225355,13.531762219768892
Sea_hour.csv,Min gap value,0.36,0.5
Sea_hour.csv,Max gap value,1.51,1.4
Sea_10_240.csv,MAE,0.09237654781613,0.117262833490296
Sea_10_240.csv,RMSE,0.1252079366547794,0.1364889718777334
Sea_10_240.csv,MedAE,0.06748885184416892,0.11513456864317528
Sea_10_240.csv,MAPE,14.92492782796785,19.744020163778114
Sea_10_240.csv,Min gap value,0.4046,0.4046
Sea_10_240.csv,Max gap value,0.9887,0.9831
Temperature.csv,MAE,7.083039814115452,9.115650004260312
Temperature.csv,RMSE,9.757362780295065,11.115445065632262
Temperature.csv,MedAE,5.285753686921936,7.976254573308324
Temperature.csv,MAPE,2.6235333232530214,3.387662819737658
Temperature.csv,Min gap value,243.39,248.66
Temperature.csv,Max gap value,300.89,289.78
Traffic.csv,MAE,622.4461008010452,466.70755979692154
Traffic.csv,RMSE,946.5034286178627,713.2110836712725
Traffic.csv,MedAE,404.6747183779595,299.73521795243715
Traffic.csv,MAPE,48.978473362014334,23.562303093559485
Traffic.csv,Min gap value,216.0,216.0
Traffic.csv,Max gap value,7065.0,7280.0
