File,Metric,gap,gap_center
Synthetic.csv,MAE,0.10680841388868449,0.38266764323550856
Synthetic.csv,RMSE,0.15074184435045535,0.4571291037318216
Synthetic.csv,MedAE,0.0668653132314947,0.37029414670047067
Synthetic.csv,MAPE,0.06378385317940101,0.20850871627500092
Synthetic.csv,Min gap value,1.284883950501781,1.284883950501781
Synthetic.csv,Max gap value,2.509816958568578,2.5065127599756964
Sea_hour.csv,MAE,0.15654497354497354,0.16302666666666665
Sea_hour.csv,RMSE,0.1964312553929188,0.195343116933598
Sea_hour.csv,MedAE,0.13000000000000012,0.15000000000000002
Sea_hour.csv,MAPE,0.18080297116433922,0.17877563201945826
Sea_hour.csv,Min gap value,0.36,0.5
Sea_hour.csv,Max gap value,1.51,1.4
Sea_10_240.csv,MAE,0.08225973544973544,0.1068662
Sea_10_240.csv,RMSE,0.10048578443250504,0.13719209270216706
Sea_10_240.csv,MedAE,0.06469999999999998,0.08510000000000001
Sea_10_240.csv,MAPE,0.12776408692113864,0.17434048174834535
Sea_10_240.csv,Min gap value,0.4046,0.4046
Sea_10_240.csv,Max gap value,0.9887,0.9831
Temperature.csv,MAE,7.291232010582011,10.407765666666666
Temperature.csv,RMSE,9.51147962219086,12.722064794022609
Temperature.csv,MedAE,5.850000000000023,9.460000000000008
Temperature.csv,MAPE,0.027149882067272556,0.038546363694485074
Temperature.csv,Min gap value,243.39,248.66
Temperature.csv,Max gap value,300.89,289.78
Traffic.csv,MAE,419.255291005291,3133.640857142857
Traffic.csv,RMSE,696.2137339057264,3472.1432879678073
Traffic.csv,MedAE,250.0,3392.0
Traffic.csv,MAPE,0.16502634692110404,2.5639864706299207
Traffic.csv,Min gap value,216.0,216.0
Traffic.csv,Max gap value,7065.0,7280.0
microsoft_stock.csv,MAE,14.194441860465114,48.451425
microsoft_stock.csv,RMSE,16.770774392404487,49.013884418091166
microsoft_stock.csv,MedAE,12.504999999999995,48.26
microsoft_stock.csv,MAPE,0.1445368131816174,0.39748204986231417
microsoft_stock.csv,Min gap value,48.43,94.13
microsoft_stock.csv,Max gap value,188.7,160.62
