Pipeline,Iteration,ROC AUC before tuning,ROC AUC after tuning,"Time, sec."
A,0,0.7030003940479989,0.7054560011008323,120.35930956527591
A,1,0.7030003940479989,0.7303448232725999,132.0179950222373
A,2,0.7030003940479989,0.7056038212231334,129.88860195875168
A,3,0.7030003940479989,0.7251323396652051,144.75289333611727
A,4,0.7030003940479989,0.7153215869501309,124.84240372106433
A,5,0.7030003940479989,0.7297395738860847,131.74775280430913
A,6,0.7030003940479989,0.7154621098872689,139.89973017945886
A,7,0.7030003940479989,0.7297395738860847,118.98967169970274
A,8,0.7030003940479989,0.720480696860334,130.7074096351862
A,9,0.7030003940479989,0.7317066865150104,120.69516332820058
A,10,0.7030003940479989,0.720480696860334,123.21888602524996
A,11,0.7030003940479989,0.7251861303444064,127.18792499229312
A,12,0.7030003940479989,0.720480696860334,123.42439307272434
A,13,0.7030003940479989,0.7154660712163573,127.00280427187681
A,14,0.7030003940479989,0.7217639589939893,128.40140542015433
A,15,0.7030003940479989,0.7118804429182902,141.77465214580297
A,16,0.7030003940479989,0.7266203399654322,137.0102432705462
A,17,0.7030003940479989,0.7186084476385266,143.06086434051394
A,18,0.7030003940479989,0.7153180426030519,138.77333357930183
A,19,0.7030003940479989,0.7153215869501309,124.75360908359289
A,20,0.7030003940479989,0.6973590444440272,139.05362863093615
A,21,0.7030003940479989,0.7118946203066068,131.35505993291736
A,22,0.7030003940479989,0.7154658627253526,126.22519011795521
A,23,0.7030003940479989,0.7251323396652051,122.88836724683642
A,24,0.7030003940479989,0.7153215869501309,122.47678084298968
A,25,0.7030003940479989,0.7054560011008323,126.9604716412723
A,26,0.7030003940479989,0.7118946203066068,126.77179476991296
A,27,0.7030003940479989,0.7251861303444064,131.29318587481976
A,28,0.7030003940479989,0.7123130617529506,111.94152242317796
A,29,0.7030003940479989,0.7217639589939893,128.39258227869868
B,0,0.6967694318828614,0.7369364748757915,143.15685396641493
B,1,0.6900161997510618,0.7025844544937109,140.72396508604288
B,2,0.6972841961733561,0.7277132498118368,140.04714004695415
B,3,0.6926654949472205,0.7257181993882874,136.75334599986672
B,4,0.696329515863038,0.7171756974545334,127.53518501669168
B,5,0.6965238294793772,0.7306187804527173,137.37475831061602
B,6,0.6988399560500962,0.7205100940919905,134.32906983420253
B,7,0.6959738302090956,0.7345730208470156,134.25418970361352
B,8,0.6897860256819219,0.7415895771176952,136.83410143107176
B,9,0.691537975594043,0.7243771852463425,138.71403686329722
B,10,0.6926323448774803,0.733369819259148,140.4147741831839
B,11,0.6921369702504185,0.7062367999132677,128.2596062719822
B,12,0.6908812289293779,0.7461692905259603,140.48458422720432
B,13,0.6941551631754848,0.7071775113262738,136.97224143892527
B,14,0.6990515744198216,0.7479948377627248,140.95765230059624
B,15,0.7016850242996266,0.7346524559197893,152.59461172670126
B,16,0.689873800394882,0.7496623488179603,149.49689375981688
B,17,0.6941017894782929,0.738340036319133,141.76054565608501
B,18,0.689221849023324,0.7482431505492695,142.91348128020763
B,19,0.6940104704182538,0.7292045859681384,145.4556685462594
B,20,0.6887241809952109,0.7427208493089565,136.0490923076868
B,21,0.695802242112264,0.7262600675093873,141.368102889508
B,22,0.6936370630289156,0.7296603473043155,146.77397764101624
B,23,0.6926338043145128,0.7321812120416066,156.71322595328093
B,24,0.6952680881583364,0.7135554596496935,134.25784983485937
B,25,0.6936403988849901,0.7221058842416244,138.3280352279544
B,26,0.6938184502029658,0.7333272870941983,140.27281837910414
B,27,0.6931944366260316,0.7365236626865734,137.01923525705934
B,28,0.6914118385362263,0.7123920798437151,146.1039365902543
B,29,0.6965036058519256,0.7188133942961031,146.38282944262028
C,0,0.7105085721076563,0.7555234479408386,479.29146621748805
C,1,0.7118028842645584,0.7795372333660665,509.2628445699811
C,2,0.7159468514730931,0.7299078261268418,519.7762530036271
C,3,0.693806357724696,0.7738502242320755,497.85662841424346
C,4,0.691318226075136,0.7819088185440238,502.9118567928672
C,5,0.7129921169551139,0.7944057693630808,503.72013836726546
C,6,0.7124035468489711,0.7665309390226359,477.34211077168584
C,7,0.7156120149196163,0.7954884631502572,481.49250779673457
C,8,0.7193819492657989,0.7831214022271009,492.773414991796
C,9,0.7161953727506427,0.7827876081286473,477.4155326113105
C,10,0.7115166261151663,0.7847980868865414,488.8827795833349
C,11,0.7145330739705235,0.7142051176202002,498.59189257770777
C,12,0.7182191949328347,0.7593313276498685,531.9097851291299
C,13,0.695299778791044,0.7685764442693122,480.34463592618704
C,14,0.7185081634652873,0.7625160277459828,490.0792263187468
C,15,0.6903896071403999,0.7727706578099688,493.28376357257366
C,16,0.6906533482612892,0.7827844807635775,465.727514334023
C,17,0.7084743253752317,0.758433356892817,480.19363121688366
C,18,0.6955239066210488,0.7771921265457001,471.2539588212967
C,19,0.6879727794144321,0.7720148779180922,485.3909797258675
C,20,0.7115754205784792,0.7648010891570083,452.2890274710953
C,21,0.7185131672493991,0.7850651638635051,466.98415964096785
C,22,0.6918090139000953,0.769147918113073,452.7948204912245
C,23,0.7158029926798808,0.7484624830861673,505.8526500277221
C,24,0.6871354795397353,0.7592656529834021,482.72550854831934
C,25,0.6894630731157105,0.7793126885540522,510.86036659777164
C,26,0.7110079080638065,0.7794790643757674,481.2561864256859
C,27,0.6925218446450128,0.7675329467910106,516.3808308951557
C,28,0.7194882796781733,0.7667827961562599,484.0336223170161
C,29,0.6908341099623256,0.74903896071404,482.63092762231827
