Pipeline,Iteration,SMAPE before tuning,SMAPE after tuning,"Time, sec."
A,0,134.0591606170833,132.82222275964776,12.351370047777891
A,1,134.0591606170833,132.83091502521938,12.77652595192194
A,2,134.0591606170833,133.1555666095364,12.261943817138672
A,3,134.0591606170833,136.15857500454655,11.474293235689402
A,4,134.0591606170833,133.85012227567984,11.366372510790825
A,5,134.0591606170833,135.06919499106198,11.744552083313465
A,6,134.0591606170833,135.077545880704,11.325913991779089
A,7,134.0591606170833,134.7640646174076,11.241767421364784
A,8,134.0591606170833,133.81207606661627,11.751150712370872
A,9,134.0591606170833,136.1492916274859,11.372904058545828
A,10,134.0591606170833,132.8309067925016,11.777680080384016
A,11,134.0591606170833,133.23922533510148,12.142434861510992
A,12,134.0591606170833,133.81049086406932,12.30082767829299
A,13,134.0591606170833,133.57507689299422,11.486790515482426
A,14,134.0591606170833,132.80796626297933,12.170027580112219
A,15,134.0591606170833,133.23942420136854,12.85032930597663
A,16,134.0591606170833,133.16220947025116,11.734975185245275
A,17,134.0591606170833,132.8391519644782,12.97901338711381
A,18,134.0591606170833,132.81610725463008,11.48512014746666
A,19,134.0591606170833,134.28472570735454,12.77156089618802
A,20,134.0591606170833,135.07734573667847,12.019479978829622
A,21,134.0591606170833,135.06868276156794,12.232026658952236
A,22,134.0591606170833,134.28176023728528,12.09987372532487
A,23,134.0591606170833,133.8101815155889,12.39058530330658
A,24,134.0591606170833,133.81184887313685,11.223269697278738
A,25,134.0591606170833,133.81085054537655,11.52961203455925
A,26,134.0591606170833,134.32067372234252,11.251132376492023
A,27,134.0591606170833,133.84227998414843,11.817208293825388
A,28,134.0591606170833,134.32159990161412,11.382647629827261
A,29,134.0591606170833,133.81032348449455,12.375624194741249
B,0,90.5872287595412,101.69425710527148,19.902870550751686
B,1,90.76788535605418,110.29956931956735,17.84361505508423
B,2,89.41704120527315,109.45404803241152,22.031388852745295
B,3,91.69658417794595,113.09791538566918,21.91477170959115
B,4,92.220675375798,92.0114320157868,22.022778891026974
B,5,89.61672871727218,114.75387496386386,20.43301973491907
B,6,92.4388004919541,92.80927041935787,21.424133736640215
B,7,90.45046934691801,111.34080197829854,20.35131734982133
B,8,91.05685161925783,111.16706429450569,20.373943962156773
B,9,90.08221717474042,113.44462783975185,21.123096738010645
B,10,92.40172718028876,109.59107336400429,19.788988444954157
B,11,91.33487024778442,113.52197008569925,20.148528292775154
B,12,90.2046008240626,109.85161121501683,21.13313763588667
B,13,89.93186319557672,106.27555970973675,21.53734253719449
B,14,92.82277201101948,110.83501050518116,19.166845627129078
B,15,90.6886990507956,103.13250729795857,20.830099631100893
B,16,92.00330192626285,91.31717725761433,20.33945817127824
B,17,89.74393406126994,99.26034160110761,21.04128335416317
B,18,91.35336075246714,95.93670719225233,21.129882488399744
B,19,90.41066608092584,109.3460399748784,21.331744000315666
B,20,91.1376622307679,96.63222201227295,20.99129581451416
B,21,90.62806048164023,105.83780757201143,23.384179811924696
B,22,88.75871982177789,100.9411537701268,21.881512470543385
B,23,92.71353268174155,117.68959026994114,20.56974647194147
B,24,91.91141935359,97.30106350149858,21.84412118792534
B,25,92.36552342234624,104.79019058488159,21.337710794061422
B,26,90.29872831874059,105.60919559329058,21.834694169461727
B,27,92.82946933531143,114.2817627134484,21.30912133678794
B,28,91.3113208380698,111.91035626420788,20.85911824181676
B,29,90.83360722548045,105.68810946662211,22.454872399568558
C,0,46.38314005052395,80.53114419041381,46.81891380250454
C,1,46.38314005052395,125.38150958503827,46.11725314706564
C,2,46.38314005052395,119.16968720008923,45.98851101845503
C,3,46.38314005052395,102.1647699146206,45.46210213005543
C,4,46.38314005052395,117.14992142813396,48.31921363994479
C,5,46.38314005052395,96.88315534370052,49.56375367939472
C,6,46.38314005052395,123.23828813378917,48.94103626534343
C,7,46.38314005052395,106.12443549318408,48.21254861354828
C,8,46.38314005052395,112.3324832893569,47.13084500655532
C,9,46.38314005052395,93.52572764803766,46.5841056779027
C,10,46.38314005052395,115.50926691866017,48.04558181390166
C,11,46.38314005052395,106.13389232063233,45.480427265167236
C,12,46.38314005052395,114.96413885520498,46.41177377104759
C,13,46.38314005052395,94.0354637318964,45.48060851171613
C,14,46.38314005052395,85.31926113762692,48.70855167135596
C,15,46.38314005052395,82.78891820013924,46.77484209090471
C,16,46.38314005052395,144.75095487838675,48.94606747478247
C,17,46.38314005052395,118.52288070911302,46.04624756798148
C,18,46.38314005052395,121.70921559082515,48.755809005349874
C,19,46.38314005052395,113.83663950117767,47.898011814802885
C,20,46.38314005052395,99.25590790890776,46.72022994980216
C,21,46.38314005052395,114.07685593786393,49.54721291735768
C,22,46.38314005052395,113.67914895170958,51.45783590897918
C,23,46.38314005052395,122.98466583258933,49.213884837925434
C,24,46.38314005052395,109.47660882121697,46.55657825618982
C,25,46.38314005052395,120.11337535231473,46.368005979806185
C,26,46.38314005052395,103.61642210434619,46.128258131444454
C,27,46.38314005052395,135.87499100547214,48.07109945267439
C,28,46.38314005052395,115.64044162158118,49.12688209488988
C,29,46.38314005052395,95.25327912559416,47.294322073459625
