dataset,iter_num,pipeline_type,IOpt mean,Hyperopt mean,IOpt std,Hyperopt std
Amazon_employee_access,20,branched,0.06299999999999994,0.06681666666666662,0.0,0.023008098549642392
Amazon_employee_access,20,complex,0.0,0.0882833333333334,0.0,0.012491477320546085
Amazon_employee_access,20,linear,0.02400000000000002,0.013733333333333346,0.0,0.009707356404376121
Amazon_employee_access,100,branched,0.08299999999999996,0.06818333333333329,0.0,0.019773712790321512
Amazon_employee_access,100,complex,0.0,0.08475000000000005,0.0,0.01951411918221335
Amazon_employee_access,100,linear,0.02400000000000002,0.015933333333333348,0.0,0.009023259335713905
class_cnae-9,20,branched,0.0050000000000000044,0.006233333333333339,0.0,0.00253361580346114
class_cnae-9,20,complex,0.0,-0.0017166666666666682,0.0,0.0038271628056881727
class_cnae-9,20,linear,0.0050000000000000044,0.00883333333333334,0.0,0.0030150282718783925
class_cnae-9,100,branched,0.0050000000000000044,0.0064000000000000055,0.0,0.0024370028828147633
class_cnae-9,100,complex,0.0,-0.0040000000000000036,0.0,0.00452488411687929
class_cnae-9,100,linear,0.0040000000000000036,0.008850000000000007,0.0,0.002305667299268319
class_volkert_small.csv,20,branched,0.17600000000000005,0.17103333333333337,0.0,0.004933340968080843
class_volkert_small.csv,20,complex,0.030999999999999917,0.03803333333333327,0.0,0.015703790610805474
class_volkert_small.csv,20,linear,0.06000000000000005,0.056300000000000044,0.0,0.004968715688507483
class_volkert_small.csv,100,branched,0.17600000000000005,0.1711333333333334,0.0,0.002587235070637079
class_volkert_small.csv,100,complex,0.030999999999999917,0.05319999999999995,0.0,0.024455979130965845
class_volkert_small.csv,100,linear,0.061000000000000054,0.05735000000000005,0.0,0.005058387898885694
