Pipeline,Iteration,ROC AUC before tuning,ROC AUC after tuning,"Time, sec."
A,0,0.7030003940479989,0.5706694854650496,88.7212005071342
A,1,0.7030003940479989,0.5608733271203015,90.43595177680254
A,2,0.7030003940479989,0.5681798943784571,83.97013248875737
A,3,0.7030003940479989,0.5608733271203015,80.75529853627086
A,4,0.7030003940479989,0.5558130419463053,78.28139407932758
A,5,0.7030003940479989,0.5621586741640032,86.73619788885117
A,6,0.7030003940479989,0.5683421003800792,82.1817356608808
A,7,0.7030003940479989,0.5813454758494445,81.50270449742675
A,8,0.7030003940479989,0.748920954805405,50.61022660508752
A,9,0.7030003940479989,0.5683421003800792,82.86282681673765
A,10,0.7030003940479989,0.5681798943784571,75.38328282907605
A,11,0.7030003940479989,0.5683421003800792,87.2381946220994
A,12,0.7030003940479989,0.5621586741640032,86.4394053928554
A,13,0.7030003940479989,0.5706694854650496,84.8163637816906
A,14,0.7030003940479989,0.5742011145929109,79.12503163516521
A,15,0.7030003940479989,0.5621586741640032,102.28924734517932
A,16,0.7030003940479989,0.5719548325087515,72.71779545396566
A,17,0.7030003940479989,0.5740389085912888,85.77868261933327
A,18,0.7030003940479989,0.563362918206894,100.42436355352402
A,19,0.7030003940479989,0.5740389085912888,86.0778115130961
A,20,0.7030003940479989,0.563362918206894,86.52883215248585
A,21,0.7030003940479989,0.5683421003800792,74.70695112645626
A,22,0.7030003940479989,0.5608733271203015,81.4675857424736
A,23,0.7030003940479989,0.5620775711631922,72.94271679222584
A,24,0.7030003940479989,0.5683421003800792,82.16719244793057
A,25,0.7030003940479989,0.5632818152060829,81.17460441216826
A,26,0.7030003940479989,0.5835917579336038,69.02957857772708
A,27,0.7030003940479989,0.5683421003800792,85.10330389812589
A,28,0.7030003940479989,0.5621586741640032,83.42882587760687
A,29,0.7030003940479989,0.5813454758494445,67.32360182330012
B,0,0.6935905695348774,0.623776939643939,70.76873433217406
B,1,0.6952124210600934,0.585570754549795,67.79825332015753
B,2,0.6970169107053876,0.617861841350855,76.4097897298634
B,3,0.692010207719588,0.5694652414221588,70.63037004694343
B,4,0.6974084568121308,0.6497513744769482,66.82348299026489
B,5,0.691908464109316,0.5919313981198281,73.12545584514737
B,6,0.6944145259852763,0.6123985430648595,69.93937169387937
B,7,0.6931798422557058,0.5732879239925194,81.32156751677394
B,8,0.6958664573416979,0.5675404524671783,67.72311972826719
B,9,0.6967529610934937,0.5906049783482091,73.41254138201475
B,10,0.6951803134453765,0.7356298617496148,69.39575716853142
B,11,0.6935301071435273,0.6562170975133278,52.20296736434102
B,12,0.6947577021789395,0.6290273686141812,53.5180699005723
B,13,0.6946334415401647,0.6167334880336588,73.24420230463147
B,14,0.6909740074264495,0.5591021960357521,65.9689384251833
B,15,0.6976744913340714,0.6513119296467953,64.42553583905101
B,16,0.6950374971071873,0.5933068132775412,62.46969895809889
B,17,0.6933426737303419,0.5739676046676967,69.94790352880955
B,18,0.6922245364723738,0.6015645164989356,75.90764170885086
B,19,0.7015632655529077,0.6181205786876326,59.92587259784341
B,20,0.6943346739304932,0.6154994297771024,68.69118209928274
B,21,0.6933545577176072,0.5791413089482254,71.38111839443445
B,22,0.6928435462651963,0.6325694222922751,61.84074616059661
B,23,0.7001290559318818,0.589226018843417,68.04553772509098
B,24,0.702852573925698,0.6716483507319078,69.26396303251386
B,25,0.6933055623315132,0.6947070388648082,60.586311891674995
B,26,0.6912223202129945,0.6007801733394212,64.56688261032104
B,27,0.6926540279419644,0.60100492664244,60.12500111013651
B,28,0.6967694318828614,0.6012797177865761,62.8197186216712
B,29,0.6927603583543388,0.6046212031181915,71.75847925618291
C,0,0.711297085087264,0.7088885970014824,290.01015412434936
C,1,0.7156989556685576,0.7124223110393902,304.3824156522751
C,2,0.6918982480500879,0.7747692525805975,292.83969263359904
C,3,0.7071574961898268,0.7752189676776395,286.37918267026544
C,4,0.6926344297875269,0.7022379424439733,341.7537117935717
C,5,0.6893361020938752,0.7856962661345975,331.0025562569499
C,6,0.7150369967287762,0.7133607290513451,372.40709425881505
C,7,0.7160782008060262,0.6982011396118314,344.20091028138995
C,8,0.691298836411703,0.6235951354878795,376.6278427988291
C,9,0.689954903395693,0.7565579803059397,294.9616615884006
C,10,0.7129821093868904,0.5704453576350448,331.1531235165894
C,11,0.7127757032922815,0.6922430921717883,313.63875498622656
C,12,0.7121333425069376,0.6600264366593903,306.73523111641407
C,13,0.6918751055485711,0.783949528497593,258.22423826903105
C,14,0.7170760387543079,0.7141682147123762,313.5663373693824
C,15,0.7103995313122216,0.6760016429091167,324.5658520795405
C,16,0.6880590946903595,0.7826468767005048,301.3120275102556
C,17,0.7137601978162653,0.7121652416306499,365.83315807953477
C,18,0.6922164053231923,0.7497175989341939,320.48789228498936
C,19,0.6914958604111026,0.7060324787287053,317.2288115285337
C,20,0.6891451243336106,0.7238451162024615,489.3484214358032
C,21,0.6875161841142363,0.7021489167849855,354.23503397777677
C,22,0.6876546221413278,0.7096848241482621,382.4372302815318
C,23,0.7106747394383669,0.7005003784111734,289.79775017127395
C,24,0.6927311696136871,0.7093451923016781,272.9470593035221
C,25,0.6974687107124764,0.7557917758638304,211.0055555254221
C,26,0.7115149581871291,0.7857567285259477,347.2207860946655
C,27,0.7097867762495387,0.6054512058077255,226.54547867923975
C,28,0.7132794175595294,0.7749133198648144,246.221590410918
C,29,0.7119717619783295,0.706994039242177,355.06490441411734
