Pipeline,Iteration,SMAPE before tuning,SMAPE after tuning,"Time, sec."
A,0,21.155286218435226,21.008354750041295,127.48152052983642
A,1,21.155286218435226,20.96166429613967,129.65117260068655
A,2,21.155286218435226,21.127658460419546,130.0571010299027
A,3,21.155286218435226,20.959884193621843,131.2596134468913
A,4,21.155286218435226,20.96194147428751,129.379835922271
A,5,21.155286218435226,20.959553912779228,132.34284343197942
A,6,21.155286218435226,20.960142227025482,128.01049855723977
A,7,21.155286218435226,20.95961309274995,129.51131894811988
A,8,21.155286218435226,20.960890443004867,126.69225262850523
A,9,21.155286218435226,20.96041070669097,131.90365328639746
A,10,21.155286218435226,20.96220147851667,128.97681932523847
A,11,21.155286218435226,20.959538868633363,126.6997921988368
A,12,21.155286218435226,21.12241241422669,129.80240616574883
A,13,21.155286218435226,20.95989541349314,129.5223354063928
A,14,21.155286218435226,20.960180957117082,131.59310314059258
A,15,21.155286218435226,20.96176854225393,130.72471199184656
A,16,21.155286218435226,20.96019135877988,128.23503232747316
A,17,21.155286218435226,21.008723799365466,128.97780471667647
A,18,21.155286218435226,20.96473255768024,131.7054138481617
A,19,21.155286218435226,21.00707480162765,129.73616845533252
A,20,21.155286218435226,20.96010502092366,129.04953751340508
A,21,21.155286218435226,21.00867870762492,127.59481525048614
A,22,21.155286218435226,20.960762964374993,130.1985866688192
A,23,21.155286218435226,20.963518895436366,131.0831960439682
A,24,21.155286218435226,20.96111052355733,129.53418109193444
A,25,21.155286218435226,20.959532613035083,131.8081882223487
A,26,21.155286218435226,20.960854998288575,130.05226176977158
A,27,21.155286218435226,20.959547392184927,128.4402509815991
A,28,21.155286218435226,20.96051770825224,129.2091627791524
A,29,21.155286218435226,20.963569673830527,132.09874515980482
B,0,26.09097026784402,23.782922177450793,236.6280993707478
B,1,26.037110028770375,23.40557873379835,234.15605664253235
B,2,26.069154761832657,23.772357573913265,235.25935842096806
B,3,26.100044500821465,24.00472678419643,281.94866348430514
B,4,26.118796249933283,23.192148324053385,234.63491256907582
B,5,26.085770196082112,24.184926051083742,251.17659559100866
B,6,25.964261298599737,23.483865308578743,236.07966912910342
B,7,26.064298004279056,23.729252058659842,236.97117833420634
B,8,26.115369098890262,23.695256483173342,227.73135425150394
B,9,26.168553964343282,23.812553655950968,245.05990540608764
B,10,26.1117041468125,23.815251845404532,237.11937367543578
B,11,26.020601528343775,23.61283233968677,249.56058081239462
B,12,26.15724416589644,23.688122480332904,234.1752023436129
B,13,26.0324265254663,23.322849114264514,233.84680545702577
B,14,26.01480059976354,23.864180656738906,235.9851659014821
B,15,26.12770173823076,23.88210091326866,247.3799186348915
B,16,26.181072487850823,23.79252874162124,240.6812480390072
B,17,26.08456515500866,23.69547845522042,240.86012206971645
B,18,26.200195044550856,23.65539336515113,234.03815266489983
B,19,26.152216884700287,23.808982692834736,230.98587833344936
B,20,26.135592723461873,23.866139058563068,234.37518750876188
B,21,26.126462711791504,23.619980826234862,242.6981495283544
B,22,26.079451251920464,24.33207003544605,247.81412978097796
B,23,26.098507361081925,23.717943861507067,251.18903447687626
B,24,26.079368612183703,23.57742784385031,242.8239059187472
B,25,26.107376708772726,23.04505323278677,235.14426419511437
B,26,26.136330078095778,23.577095544020295,232.65561196953058
B,27,26.20724855399139,23.722189329376565,232.80578564852476
B,28,26.085605199341497,23.79741359966634,236.37529818713665
B,29,26.1694828513009,23.7867640577351,242.8696384318173
C,0,33.377474025388466,24.893828895255247,760.9130972400308
C,1,33.39279915982631,24.785547029836504,767.1044023521245
C,2,33.3564216098836,24.793060348556065,740.9784778058529
C,3,33.38150210597787,24.885193956259375,747.1980238296092
C,4,33.386226427196874,24.715397109676474,752.0424917005002
C,5,33.37944984764384,24.90907685839356,705.2620730511844
C,6,33.37349089355449,24.87615248116274,790.4117062576115
C,7,33.37274592896464,24.728763218658614,749.6484073214233
C,8,33.386850253049936,24.80482513315922,750.2774813398719
C,9,33.381201785004315,24.779034226995723,752.1163078956306
C,10,33.39216591681843,25.189163517162562,768.0804473757744
C,11,33.372283124391586,25.030787016157596,762.6011988893151
C,12,33.387093946974865,24.97119278361589,788.0653099603951
C,13,33.37841596488074,24.961458114856164,780.3560120016336
C,14,33.37426876898796,25.025995842752724,783.6592374704778
C,15,33.36682131953274,24.781928351830867,757.0062540881336
C,16,33.379740734132476,24.768431876947744,720.8144062720239
C,17,33.37079810378903,25.057726774223866,763.3924850486219
C,18,33.38419806822652,24.9056984581711,716.7479199394584
C,19,33.37533421470217,24.69802358706579,737.4658262431622
C,20,33.3626769504058,24.716425292408847,737.6144406460226
C,21,33.376321743080254,25.182666482988022,745.613120213151
C,22,33.38253715291318,24.956171304665617,748.7633410394192
C,23,33.38053514510015,24.74542211093092,773.2584543116391
C,24,33.384758941421026,25.20541898293187,749.5647539123893
C,25,33.36936304342075,25.132510930648237,770.8378686308861
C,26,33.37575269589721,25.410481560349705,709.9155719131231
C,27,33.37854859784483,24.853016857483397,693.7277979813516
C,28,33.38878672781052,25.31170471237002,786.9065917879343
C,29,33.374702105712224,24.80007071067789,744.9110989868641
