Pipeline,Iteration,ROC AUC before tuning,ROC AUC after tuning,"Time, sec."
A,0,0.9664415687536891,0.972000293237577,67.51393774151802
A,1,0.9631857209604521,0.9773506185549644,64.38620715588331
A,2,0.9720466321826395,0.9805831229557683,64.25908445939422
A,3,0.9626758974181049,0.9757630918334819,64.30533012002707
A,4,0.9657226279396194,0.976886383976272,62.745285872370005
A,5,0.9663592137711416,0.9744769745552525,61.98062360286713
A,6,0.9643350295250601,0.9808656850629678,61.929188810288906
A,7,0.9724747095411836,0.9774627671296687,59.113415736705065
A,8,0.9661887212238697,0.9760592675126123,63.067367512732744
A,9,0.966373297134523,0.9713838797410652,62.58832832798362
A,10,0.96898997947126,0.9826491619129372,62.60186372324824
A,11,0.9663943844495413,0.9803117875192078,65.04169016703963
A,12,0.9715632168640757,0.9785748191565486,60.38270574435592
A,13,0.9683972619221431,0.980477250180075,61.19898201152682
A,14,0.9660542638550482,0.981400772174459,61.12265856191516
A,15,0.969137269901538,0.9830292838726812,62.68340527266264
A,16,0.9652832988419271,0.9779036693336849,64.77006734162569
A,17,0.97146804907102,0.9846537055499124,61.688082695007324
A,18,0.9730488654401227,0.9788880285911947,63.06301674991846
A,19,0.9678668343162935,0.9780808055395736,54.603416349738836
A,20,0.9610433047431575,0.9777677579063921,64.52322844043374
A,21,0.9687774549452569,0.9843326012544141,62.630292005836964
A,22,0.9744513627939201,0.9809398722036519,64.02850960567594
A,23,0.9668516143292957,0.977915284294714,62.58214497938752
A,24,0.9601405083631612,0.9795453362206931,61.691982954740524
A,25,0.9698272515603372,0.9842850045752846,54.250660587102175
A,26,0.9649637595443098,0.9796727600373367,51.89339628070593
A,27,0.9733677548517318,0.9818050578934459,59.50485131517053
A,28,0.9730552182026497,0.9757981125879185,64.40853963419795
A,29,0.9664517291597104,0.9798931183897844,66.80284028500319
B,0,0.9637243037865394,0.9739999371895584,70.59513987228274
B,1,0.9572186000793441,0.9767286486894613,71.54215181991458
B,2,0.9642221364973584,0.979061912158981,69.33399103954434
B,3,0.9646220697920234,0.9775575361455656,70.58934447541833
B,4,0.9514878531747475,0.9811339317802008,70.79741594567895
B,5,0.9569772730005293,0.9776676873457721,66.36211647838354
B,6,0.961781460077641,0.9743077276877972,74.09301785007119
B,7,0.961892004697736,0.968524618123047,72.34700192511082
B,8,0.9630764790558062,0.9752843827740851,60.93601689860225
B,9,0.962899970196685,0.9684427730616575,71.55784741416574
B,10,0.9586695631262369,0.9737529307833661,73.00235802680254
B,11,0.9597269342746659,0.972289543895172,72.37408634647727
B,12,0.9587450215494402,0.9809738086139722,57.72949084639549
B,13,0.9641590398307177,0.9804093667828775,59.38644493371248
B,14,0.9624420522980084,0.9720520983213549,72.94658550992608
B,15,0.9697819015718075,0.9726036548778405,72.12882876396179
B,16,0.9643145237037685,0.9843913718258993,62.73990497738123
B,17,0.9660428204669496,0.9753233416137626,70.485072247684
B,18,0.9656145521780987,0.9722809250329093,60.3703946955502
B,19,0.9635712226422801,0.9765210664136984,71.78444519266486
B,20,0.9601097803309262,0.9751229171284534,62.97043088823557
B,21,0.9607786731958156,0.978352503131465,69.31634184718132
B,22,0.9608892960780631,0.9731875450701545,71.66608030349016
B,23,0.9623430862781114,0.9745903142461724,59.65822096168995
B,24,0.9608312751141072,0.9766972358273054,65.85605358704925
B,25,0.960009521037093,0.97487332890192,71.32323195412755
B,26,0.9621336677999748,0.9785503245741022,71.84745556116104
B,27,0.9652995697952078,0.9798572102331207,68.95735581591725
B,28,0.9626518665143509,0.9708511226867963,68.37264889478683
B,29,0.9550094245161813,0.9737398676684239,57.849679216742516
C,0,0.9646351518065163,0.9725627964513222,254.38545854389668
C,1,0.9709132183875665,0.9695806624112256,270.6398520693183
C,2,0.969300729645338,0.981830197855686,253.53246691450477
C,3,0.9623301501585318,0.9713476882191715,251.2246989645064
C,4,0.9680848157866743,0.9591626838118678,249.32541957497597
C,5,0.9650146023993776,0.9700277789296303,252.5728092417121
C,6,0.9718533408054064,0.9655248934758853,271.71704825386405
C,7,0.9695831877494187,0.9762878011570925,268.9004745297134
C,8,0.9729450746897026,0.9582567538034829,252.64254100620747
C,9,0.969757761068963,0.9712301214722883,273.9155452698469
C,10,0.9677090966974716,0.9740569558604302,268.1226690635085
C,11,0.9678348769478823,0.9750044617069151,273.0974033549428
C,12,0.958380734851922,0.9774815941384922,283.60516968369484
C,13,0.9708324902185458,0.9792564704281995,248.52684879302979
C,14,0.9596471478841416,0.9697334690118117,252.65181803703308
C,15,0.9688272275810395,0.9635069938600509,247.88404563441873
C,16,0.9679798028345861,0.9689700885075505,274.98317470401525
C,17,0.9635118033720104,0.9709908859184697,244.56184389814734
C,18,0.9662646432833433,0.9713716970314648,279.36389626935124
C,19,0.9701238009169662,0.9735795651181953,259.86345679312944
C,20,0.971171019019621,0.9751810396487293,268.85122089087963
C,21,0.9765195342193412,0.9692649314241694,283.3839366324246
C,22,0.9683255737077846,0.9623283626003644,278.58607172220945
C,23,0.9735032708927027,0.9808929276422992,255.06552374735475
C,24,0.9684679399968399,0.9824011143316143,235.02269153296947
C,25,0.9732252550130327,0.9738783205968846,253.96418891474605
C,26,0.9686456685073634,0.9752580902858704,253.03545533120632
C,27,0.964824005621376,0.9760339344018808,269.0117529220879
C,28,0.9652815826925109,0.9857694889956345,254.38009701296687
C,29,0.9697053383148894,0.9639850116313097,288.77724727243185
