dataset,iter_num,pipeline_type,IOpt time mean,Hyperopt time mean
reg_cal_housing.csv,20,branched,103.1235652933324,86.19705074001104
reg_cal_housing.csv,20,complex,668.7814394066731,391.97427409998295
reg_cal_housing.csv,20,linear,33.24242947999931,34.06628553333382
reg_cal_housing.csv,100,branched,1000.0382854433459,475.212399403333
reg_cal_housing.csv,100,complex,7392.045846413332,2065.5586072066667
reg_cal_housing.csv,100,linear,243.44241158998727,149.15937954333313
reg_delta_ailerons.csv,20,branched,207.64579052999227,34.34536635666154
reg_delta_ailerons.csv,20,complex,624.3972099866602,63.645931513347506
reg_delta_ailerons.csv,20,linear,35.352654910006095,7.83355884666089
reg_delta_ailerons.csv,100,branched,187.22246188001398,32.94297087667898
reg_delta_ailerons.csv,100,complex,758.9888157100262,72.08888759333641
reg_delta_ailerons.csv,100,linear,38.65027678666326,5.754423993325327
reg_pol.csv,20,branched,80.92054492666696,35.05985596667063
reg_pol.csv,20,complex,180.4282976033292,66.31762046000125
reg_pol.csv,20,linear,42.05900412000095,19.513537136669036
reg_pol.csv,100,branched,448.31642963333485,207.9156686366662
reg_pol.csv,100,complex,1253.0552717999963,590.1058652800014
reg_pol.csv,100,linear,238.6018293733301,97.59362702999982
